CALENDAR(GMT 9),TIMESTAMP,MACADDR,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,,
2024-05-26T00:00:32Z,1716649232,60E85BB84CE4,11.84,15.79,251.1,478,21.18,62.7,207.52,104.97,,
2024-05-26T00:01:32Z,1716649292,60E85BB84CE4,11.48,15.3,251.1,478,21.17,62.64,207.52,101.69,,
2024-05-26T00:02:32Z,1716649352,60E85BB84CE4,11.25,15,251.1,478,21.22,62.01,207.52,99.7,,
2024-05-26T00:03:32Z,1716649412,60E85BB84CE4,11.7,15.61,256.84,479,21.15,62.75,212.27,103.7,,
2024-05-26T00:04:32Z,1716649472,60E85BB84CE4,10.17,13.56,256.84,478,21.13,62.88,212.27,90.07,,
2024-05-26T00:05:32Z,1716649532,60E85BB84CE4,11.23,14.98,262.6,477,21.13,63.29,217.03,99.38,,
2024-05-26T00:06:32Z,1716649592,60E85BB84CE4,9.73,13.11,268.37,474,21.1,61.49,221.8,85.04,,
2024-05-26T00:07:32Z,1716649652,60E85BB84CE4,10.22,13.75,268.37,469,21.08,61.53,221.8,89.53,,439.7756944
2024-05-26T00:08:32Z,1716649712,60E85BB84CE4,9.76,13.09,268.37,469,21.1,61.8,221.8,85.74,,
2024-05-26T00:09:32Z,1716649772,60E85BB84CE4,9.68,12.92,268.37,469,21.13,61.65,221.8,85.73,,
2024-05-26T00:10:32Z,1716649832,60E85BB84CE4,9.46,12.7,268.37,471,21.15,61.4,221.8,82.97,,
2024-05-26T00:11:32Z,1716649892,60E85BB84CE4,11.77,15.7,274.16,486,21.09,63.31,226.58,104.31,,
2024-05-26T00:12:32Z,1716649952,60E85BB84CE4,10.45,14.08,274.16,487,21.13,62.93,226.58,91.37,,
2024-05-26T00:13:32Z,1716650012,60E85BB84CE4,10.66,14.3,279.95,487,21.08,62.99,231.37,93.69,,
2024-05-26T00:14:32Z,1716650072,60E85BB84CE4,10.32,13.82,279.95,484,21.08,62.47,231.37,91.02,,
2024-05-26T00:15:32Z,1716650132,60E85BB84CE4,10.49,14.03,291.58,478,21.08,62.78,240.98,92.58,,
2024-05-26T00:16:32Z,1716650192,60E85BB84CE4,10.88,14.6,297.42,477,21.06,63.61,245.8,95.56,,
2024-05-26T00:17:32Z,1716650252,60E85BB84CE4,10.47,14.03,303.26,476,21.01,62.93,250.63,92.26,,
2024-05-26T00:18:32Z,1716650312,60E85BB84CE4,9.51,12.68,309.12,475,21.02,62.68,255.47,84.26,,
2024-05-26T00:19:32Z,1716650372,60E85BB84CE4,9.62,12.82,314.99,477,21.07,62.35,260.33,85.22,,
2024-05-26T00:20:32Z,1716650432,60E85BB84CE4,11.07,14.85,320.88,480,21.07,62.01,265.19,97.32,,
2024-05-26T00:21:32Z,1716650492,60E85BB84CE4,10.99,14.65,326.78,474,21.07,62.09,270.06,97.4,,
2024-05-26T00:22:32Z,1716650552,60E85BB84CE4,10.44,13.92,320.88,474,21.08,62.16,265.19,92.52,,
2024-05-26T00:23:32Z,1716650612,60E85BB84CE4,10.89,14.52,320.88,475,21.13,62.18,265.19,96.52,,
2024-05-26T00:24:32Z,1716650672,60E85BB84CE4,11.11,14.92,320.88,475,21.1,62.2,265.19,97.43,,
2024-05-26T00:25:32Z,1716650732,60E85BB84CE4,10.7,14.36,320.88,477,21.11,62.37,265.19,93.95,,
2024-05-26T00:26:32Z,1716650792,60E85BB84CE4,10,13.35,320.88,476,21.09,62.4,265.19,88.41,,
