CALENDAR(GMT 9),TIMESTAMP,MACADDR,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
2024-05-14T00:00:37Z,1715612437,60E85BB84CE4,5.59,7.46,472.37,771.00,18.22,45.02,390.39,49.56
2024-05-14T00:01:37Z,1715612497,60E85BB84CE4,6.06,8.08,497.42,1002.00,18.23,44.68,411.09,53.72
2024-05-14T00:02:37Z,1715612557,60E85BB84CE4,6.37,8.50,503.72,992.00,18.21,44.89,416.30,56.48
2024-05-14T00:03:37Z,1715612617,60E85BB84CE4,5.58,7.44,503.72,882.00,18.17,44.88,416.30,49.46
2024-05-14T00:04:37Z,1715612677,60E85BB84CE4,5.91,7.88,497.42,822.00,18.18,44.20,411.09,52.35
2024-05-14T00:05:37Z,1715612737,60E85BB84CE4,6.18,8.25,429.08,647.00,18.16,44.22,354.61,54.81
2024-05-14T00:06:37Z,1715612797,60E85BB84CE4,6.50,8.67,380.45,640.00,18.10,44.62,314.42,57.63
2024-05-14T00:07:37Z,1715612857,60E85BB84CE4,5.72,7.63,429.08,961.00,18.12,44.84,354.61,50.73
2024-05-14T00:08:37Z,1715612917,60E85BB84CE4,5.80,7.73,459.93,1004.00,18.13,44.78,380.11,51.37
2024-05-14T00:09:37Z,1715612977,60E85BB84CE4,5.63,7.51,472.37,1046.00,18.15,44.85,390.39,49.93
2024-05-14T00:10:37Z,1715613037,60E85BB84CE4,5.93,7.90,478.61,990.00,18.07,45.20,395.54,52.53
2024-05-14T00:11:37Z,1715613097,60E85BB84CE4,5.81,7.74,472.37,876.00,18.05,45.19,390.39,51.45
2024-05-14T00:12:37Z,1715613157,60E85BB84CE4,5.91,7.88,491.14,1163.00,18.10,45.34,405.90,52.37
2024-05-14T00:13:37Z,1715613217,60E85BB84CE4,6.03,8.05,561.10,1223.00,18.09,45.15,463.72,53.48
2024-05-14T00:14:37Z,1715613277,60E85BB84CE4,5.73,7.64,639.56,1163.00,18.15,45.26,528.56,50.77
2024-05-14T00:15:37Z,1715613337,60E85BB84CE4,6.17,8.22,693.17,1096.00,18.09,45.41,572.87,54.65
2024-05-14T00:16:37Z,1715613397,60E85BB84CE4,6.02,8.03,659.54,928.00,18.10,45.20,545.07,53.38
2024-05-14T00:17:37Z,1715613457,60E85BB84CE4,5.79,7.72,639.56,884.00,18.01,45.92,528.56,51.28
2024-05-14T00:18:37Z,1715613517,60E85BB84CE4,6.58,8.77,632.93,848.00,17.98,45.95,523.08,58.31
2024-05-14T00:19:37Z,1715613577,60E85BB84CE4,6.01,8.02,593.51,820.00,17.93,46.21,490.50,53.29
2024-05-14T00:20:37Z,1715613637,60E85BB84CE4,5.55,7.41,510.03,767.00,17.85,46.64,421.52,49.23
2024-05-14T00:21:37Z,1715613697,60E85BB84CE4,6.17,8.23,561.10,1111.00,17.91,46.50,463.72,54.69
2024-05-14T00:22:37Z,1715613757,60E85BB84CE4,6.22,8.30,713.56,1116.00,17.96,46.43,589.72,55.14
2024-05-14T00:23:37Z,1715613817,60E85BB84CE4,6.34,8.45,699.95,1045.00,17.92,46.39,578.47,56.19
2024-05-14T00:24:37Z,1715613877,60E85BB84CE4,6.35,8.47,659.54,904.00,17.81,46.82,545.07,56.29
2024-05-14T00:25:37Z,1715613937,60E85BB84CE4,6.31,8.41,646.20,804.00,17.81,46.68,534.05,55.92
2024-05-14T00:26:37Z,1715613997,60E85BB84CE4,6.39,8.51,613.15,825.00,17.82,46.79,506.73,56.59
2024-05-14T00:27:37Z,1715614057,60E85BB84CE4,5.78,7.71,561.10,848.00,17.79,47.13,463.72,51.27
2024-05-14T00:28:37Z,1715614117,60E85BB84CE4,6.71,8.94,529.07,902.00,17.75,47.12,437.25,59.44
2024-05-14T00:29:37Z,1715614177,60E85BB84CE4,6.58,8.77,535.44,1022.00,17.76,47.31,442.52,58.32
2024-05-14T00:30:37Z,1715614237,60E85BB84CE4,6.61,8.82,567.55,1197.00,17.73,47.32,469.05,58.59
2024-05-14T00:31:37Z,1715614297,60E85BB84CE4,6.47,8.62,659.54,1125.00,17.68,47.52,545.07,57.31
2024-05-14T00:32:37Z,1715614357,60E85BB84CE4,6.34,8.45,639.56,1006.00,17.69,47.53,528.56,56.15
2024-05-14T00:33:37Z,1715614417,60E85BB84CE4,6.22,8.29,626.32,999.00,17.71,47.58,517.62,55.08
2024-05-14T00:34:37Z,1715614477,60E85BB84CE4,5.90,7.87,613.15,868.00,17.64,47.81,506.73,52.30
2024-05-14T00:35:37Z,1715614537,60E85BB84CE4,6.38,8.50,580.50,848.00,17.61,47.68,479.75,56.52
2024-05-14T00:36:37Z,1715614597,60E85BB84CE4,6.33,8.44,587.00,1028.00,17.66,47.56,485.12,56.07
2024-05-14T00:37:37Z,1715614657,60E85BB84CE4,5.83,7.78,593.51,1099.00,17.69,47.66,490.50,51.71
2024-05-14T00:38:37Z,1715614717,60E85BB84CE4,5.61,7.48,600.04,1119.00,17.67,47.72,495.90,49.73
2024-05-14T00:39:37Z,1715614777,60E85BB84CE4,6.15,8.20,600.04,1073.00,17.62,48.01,495.90,54.47
2024-05-14T00:40:37Z,1715614837,60E85BB84CE4,7.09,9.45,593.51,893.00,17.50,48.08,490.50,62.80
2024-05-14T00:41:37Z,1715614897,60E85BB84CE4,6.44,8.59,554.66,754.00,17.42,48.63,458.40,57.10
2024-05-14T00:42:37Z,1715614957,60E85BB84CE4,6.40,8.53,516.36,759.00,17.41,48.59,426.75,56.70
2024-05-14T00:43:37Z,1715615017,60E85BB84CE4,6.51,8.68,510.03,884.00,17.41,48.60,421.52,57.71
2024-05-14T00:44:37Z,1715615077,60E85BB84CE4,6.18,8.24,472.37,833.00,17.35,48.75,390.39,54.79
2024-05-14T00:45:37Z,1715615137,60E85BB84CE4,6.52,8.69,429.08,767.00,17.31,48.78,354.61,57.79
2024-05-14T00:46:37Z,1715615197,60E85BB84CE4,6.49,8.66,392.53,726.00,17.22,49.28,324.40,57.53
2024-05-14T00:47:37Z,1715615257,60E85BB84CE4,6.32,8.43,362.44,672.00,17.11,49.65,299.54,56.01
2024-05-14T00:48:37Z,1715615317,60E85BB84CE4,6.48,8.64,350.50,712.00,17.12,49.79,289.67,57.41
2024-05-14T00:49:37Z,1715615377,60E85BB84CE4,6.83,9.10,380.45,783.00,17.03,49.54,314.42,60.49
2024-05-14T00:50:37Z,1715615437,60E85BB84CE4,6.61,8.81,350.50,624.00,16.88,49.84,289.67,58.57
2024-05-14T00:51:37Z,1715615497,60E85BB84CE4,6.76,9.01,320.88,576.00,16.85,49.95,265.19,59.92
2024-05-14T00:52:37Z,1715615557,60E85BB84CE4,6.27,8.36,309.12,565.00,16.85,50.43,255.47,55.56
2024-05-14T00:53:37Z,1715615617,60E85BB84CE4,6.76,9.01,338.61,683.00,16.90,49.73,279.84,59.90
2024-05-14T00:54:37Z,1715615677,60E85BB84CE4,6.49,8.65,386.48,788.00,16.97,50.08,319.41,57.48
2024-05-14T00:55:37Z,1715615737,60E85BB84CE4,6.69,8.91,410.74,829.00,16.98,49.87,339.46,59.25
2024-05-14T00:56:37Z,1715615797,60E85BB84CE4,6.36,8.48,392.53,678.00,16.76,50.53,324.40,56.39
2024-05-14T00:57:37Z,1715615857,60E85BB84CE4,6.63,8.84,368.43,622.00,16.83,50.88,304.49,58.75
2024-05-14T00:58:37Z,1715615917,60E85BB84CE4,6.27,8.36,416.84,853.00,16.84,50.67,344.50,55.56
2024-05-14T00:59:37Z,1715615977,60E85BB84CE4,6.73,8.97,429.08,849.00,16.89,50.78,354.61,59.60
2024-05-14T01:00:37Z,1715616037,60E85BB84CE4,5.97,7.96,429.08,918.00,16.88,50.65,354.61,52.92
2024-05-14T01:01:37Z,1715616097,60E85BB84CE4,5.97,7.97,435.22,894.00,16.87,50.89,359.69,52.95
2024-05-14T01:02:37Z,1715616157,60E85BB84CE4,6.04,8.06,435.22,775.00,16.85,50.85,359.69,53.56
2024-05-14T01:03:37Z,1715616217,60E85BB84CE4,6.25,8.33,435.22,751.00,16.81,50.97,359.69,55.39
2024-05-14T01:04:37Z,1715616277,60E85BB84CE4,6.08,8.11,416.84,745.00,16.74,50.84,344.50,53.88
2024-05-14T01:05:37Z,1715616337,60E85BB84CE4,6.56,8.74,380.45,693.00,16.61,51.33,314.42,58.09
2024-05-14T01:06:37Z,1715616397,60E85BB84CE4,6.59,8.79,356.46,647.00,16.53,51.48,294.60,58.39
2024-05-14T01:07:37Z,1715616457,60E85BB84CE4,7.05,9.40,314.99,603.00,16.40,51.95,260.33,62.49
2024-05-14T01:08:37Z,1715616517,60E85BB84CE4,5.99,7.99,303.26,611.00,16.44,51.78,250.63,53.08
2024-05-14T01:09:37Z,1715616577,60E85BB84CE4,6.61,8.82,314.99,731.00,16.48,51.32,260.33,58.61
2024-05-14T01:10:37Z,1715616637,60E85BB84CE4,6.63,8.84,303.26,679.00,16.44,51.65,250.63,58.77
2024-05-14T01:11:37Z,1715616697,60E85BB84CE4,6.14,8.19,309.12,673.00,16.48,51.20,255.47,54.46
2024-05-14T01:12:37Z,1715616757,60E85BB84CE4,6.34,8.45,309.12,735.00,16.46,51.19,255.47,56.18
2024-05-14T01:13:37Z,1715616817,60E85BB84CE4,6.04,8.05,309.12,771.00,16.51,50.94,255.47,53.54
2024-05-14T01:14:37Z,1715616877,60E85BB84CE4,6.60,8.81,350.50,901.00,16.54,50.82,289.67,58.53
2024-05-14T01:15:37Z,1715616937,60E85BB84CE4,6.26,8.35,368.43,879.00,16.59,51.06,304.49,55.49
2024-05-14T01:16:37Z,1715616997,60E85BB84CE4,6.00,8.00,380.45,841.00,16.57,50.99,314.42,53.17
2024-05-14T01:17:37Z,1715617057,60E85BB84CE4,6.35,8.47,380.45,798.00,16.52,51.36,314.42,56.27
2024-05-14T01:18:37Z,1715617117,60E85BB84CE4,5.37,7.17,380.45,761.00,16.55,50.93,314.42,47.63
2024-05-14T01:19:37Z,1715617177,60E85BB84CE4,5.74,7.65,386.48,818.00,16.56,51.24,319.41,50.85
2024-05-14T01:20:37Z,1715617237,60E85BB84CE4,5.61,7.48,386.48,837.00,16.58,51.04,319.41,49.75
2024-05-14T01:21:37Z,1715617297,60E85BB84CE4,5.78,7.71,380.45,807.00,16.55,51.27,314.42,51.22
2024-05-14T01:22:37Z,1715617357,60E85BB84CE4,6.20,8.27,362.44,773.00,16.51,50.95,299.54,54.97
2024-05-14T01:23:37Z,1715617417,60E85BB84CE4,5.85,7.80,344.55,768.00,16.53,50.85,284.75,51.85
2024-05-14T01:24:37Z,1715617477,60E85BB84CE4,5.82,7.77,344.55,859.00,16.60,50.30,284.75,51.61
2024-05-14T01:25:37Z,1715617537,60E85BB84CE4,5.46,7.28,326.78,843.00,16.55,50.79,270.06,48.40
2024-05-14T01:26:37Z,1715617597,60E85BB84CE4,6.38,8.51,320.88,793.00,16.52,50.77,265.19,56.58
2024-05-14T01:27:37Z,1715617657,60E85BB84CE4,5.50,7.33,332.69,963.00,16.57,50.74,274.95,48.73
2024-05-14T01:28:37Z,1715617717,60E85BB84CE4,6.14,8.19,344.55,914.00,16.54,50.45,284.75,54.46
2024-05-14T01:29:37Z,1715617777,60E85BB84CE4,6.06,8.08,338.61,834.00,16.54,50.52,279.84,53.69
2024-05-14T01:30:37Z,1715617837,60E85BB84CE4,5.95,7.94,338.61,873.00,16.56,50.50,279.84,52.75
2024-05-14T01:31:37Z,1715617897,60E85BB84CE4,5.45,7.26,362.44,1048.00,16.61,50.31,299.54,48.27
2024-05-14T01:32:37Z,1715617957,60E85BB84CE4,5.11,6.81,398.58,1195.00,16.65,50.13,329.41,45.25
2024-05-14T01:33:37Z,1715618017,60E85BB84CE4,6.06,8.07,404.66,928.00,16.63,50.33,334.43,53.66
2024-05-14T01:34:37Z,1715618077,60E85BB84CE4,5.98,7.97,398.58,831.00,16.63,50.26,329.41,53.00
