CALENDAR(GMT 9),TIMESTAMP,MACADDR,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
2024-11-11T00:00:14Z,1731250814,60E85BB834C4,14.14,18.89,122.22,480,13.53,66.01,101.01,125.03
2024-11-11T00:01:14Z,1731250874,60E85BB834C4,14.63,19.51,127.7,687,13.53,66.02,105.54,129.68
2024-11-11T00:02:14Z,1731250934,60E85BB834C4,14.42,19.23,127.7,884,13.49,66.46,105.54,127.79
2024-11-11T00:03:14Z,1731250994,60E85BB834C4,14.72,19.77,127.7,635,13.5,66.42,105.54,129.04
2024-11-11T00:04:14Z,1731251054,60E85BB834C4,14.57,19.43,133.19,521,13.5,66.39,110.07,129.06
2024-11-11T00:05:14Z,1731251114,60E85BB834C4,13.23,17.66,138.68,489,13.46,66.76,114.62,117.04
2024-11-11T00:06:14Z,1731251174,60E85BB834C4,14.1,18.97,144.19,481,13.46,66.69,119.17,123.34
2024-11-11T00:07:14Z,1731251234,60E85BB834C4,14.09,19.02,144.19,1026,13.45,66.75,119.17,122.69
2024-11-11T00:08:14Z,1731251294,60E85BB834C4,14.2,19.26,149.72,740,13.46,66.92,123.73,122.92
2024-11-11T00:09:14Z,1731251354,60E85BB834C4,13.98,18.83,155.25,581,13.48,66.86,128.31,122.13
2024-11-11T00:10:14Z,1731251414,60E85BB834C4,14.63,19.75,160.79,517,13.47,66.94,132.89,127.54
2024-11-11T00:11:14Z,1731251474,60E85BB834C4,14.74,19.89,177.5,494,13.46,67.25,146.69,128.37
2024-11-11T00:12:14Z,1731251534,60E85BB834C4,14.19,19.1,222.55,480,13.48,67.28,183.92,124.11
2024-11-11T00:13:14Z,1731251594,60E85BB834C4,14.15,18.87,274.16,917,13.47,67.24,226.58,125.39
2024-11-11T00:14:14Z,1731251654,60E85BB834C4,14.07,18.84,332.69,726,13.46,67.31,274.95,123.97
2024-11-11T00:15:14Z,1731251714,60E85BB834C4,13.81,18.42,368.43,552,13.45,67.52,304.49,122.43
2024-11-11T00:16:14Z,1731251774,60E85BB834C4,13.86,18.5,422.95,517,13.43,67.52,349.55,122.69
2024-11-11T00:17:14Z,1731251834,60E85BB834C4,14.43,19.27,453.73,494,13.46,67.5,374.98,127.55
2024-11-11T00:18:14Z,1731251894,60E85BB834C4,14.09,18.79,466.14,550,13.43,67.39,385.24,124.88
2024-11-11T00:19:14Z,1731251954,60E85BB834C4,13.97,18.72,466.14,729,13.44,67.53,385.24,122.92
2024-11-11T00:20:14Z,1731252014,60E85BB834C4,15.2,20.75,459.93,581,13.46,67.55,380.11,130.23
2024-11-11T00:21:14Z,1731252074,60E85BB834C4,14.02,18.7,441.38,504,13.41,67.46,364.77,124.06
