CALENDAR(GMT 9),TIMESTAMP,MACADDR,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,,,,
2024-10-16T00:00:50Z,1729004450,60E85BB834C4,23.03,31.62,3295.48,521,18.13,91.67,2723.53,195.68,,,,
2024-10-16T00:01:50Z,1729004510,60E85BB834C4,20.94,28.71,3277.67,463,18.13,91.64,2708.81,178.3,,,,
2024-10-16T00:02:50Z,1729004570,60E85BB834C4,22.69,30.97,3259.97,450,18.12,91.58,2694.19,194.55,,,,
2024-10-16T00:03:50Z,1729004630,60E85BB834C4,21.46,29.18,3259.97,586,18.15,91.51,2694.19,184.98,,,,
2024-10-16T00:04:50Z,1729004690,60E85BB834C4,22.22,30.71,3259.97,550,18.13,91.58,2694.19,187.15,,,,
2024-10-16T00:05:50Z,1729004750,60E85BB834C4,21.45,29.35,3242.39,472,18.13,91.57,2679.66,183.24,,,,
2024-10-16T00:06:50Z,1729004810,60E85BB834C4,21.48,29.27,3242.39,447,18.12,91.51,2679.66,184.61,,,,
2024-10-16T00:07:50Z,1729004870,60E85BB834C4,21.7,29.69,3242.39,563,18.1,91.49,2679.66,185.27,,,,
2024-10-16T00:08:50Z,1729004930,60E85BB834C4,23.21,31.53,3242.39,534,18.1,91.44,2679.66,200.4,,,,
2024-10-16T00:09:50Z,1729004990,60E85BB834C4,21.74,29.55,3224.93,466,18.06,91.66,2665.23,187.55,,,,497.6441974
2024-10-16T00:10:50Z,1729005050,60E85BB834C4,22.53,30.86,3224.93,437,18.06,91.59,2665.23,192.15,,,,
2024-10-16T00:11:50Z,1729005110,60E85BB834C4,21.89,30.15,3224.93,587,18.06,91.5,2665.23,185.32,,,,
2024-10-16T00:12:50Z,1729005170,60E85BB834C4,20.91,28.76,3224.93,564,18.04,91.51,2665.23,177.17,,,,
2024-10-16T00:13:50Z,1729005230,60E85BB834C4,21.83,30.21,3207.58,478,18.04,91.56,2650.89,183.44,,,,
2024-10-16T00:14:50Z,1729005290,60E85BB834C4,23.72,32.77,3207.58,445,18.03,91.52,2650.89,199.87,,,,
2024-10-16T00:15:50Z,1729005350,60E85BB834C4,21.23,28.75,3190.34,533,18.02,91.5,2636.64,184.03,,,,
2024-10-16T00:16:50Z,1729005410,60E85BB834C4,22.48,30.43,3190.34,574,18,91.63,2636.64,195.04,,,,
2024-10-16T00:17:50Z,1729005470,60E85BB834C4,21.23,29.14,3190.34,497,18.02,91.7,2636.64,180.54,,,,
2024-10-16T00:18:50Z,1729005530,60E85BB834C4,21.72,29.59,3173.21,450,18,91.56,2622.49,186.78,,,,
2024-10-16T00:19:50Z,1729005590,60E85BB834C4,22.68,31.36,3173.21,445,18,91.59,2622.49,190.82,,,,
2024-10-16T00:20:50Z,1729005650,60E85BB834C4,23.5,32.2,3173.21,558,17.98,91.53,2622.49,200.42,,,,
2024-10-16T00:21:50Z,1729005710,60E85BB834C4,21.4,29.2,3173.21,503,17.98,91.59,2622.49,183.51,,,,
2024-10-16T00:22:50Z,1729005770,60E85BB834C4,23.05,31.49,3173.21,459,17.98,91.56,2622.49,197.39,,,,
2024-10-16T00:23:50Z,1729005830,60E85BB834C4,21.99,30.53,3173.21,446,17.96,91.62,2622.49,183.8,,,,
2024-10-16T00:24:50Z,1729005890,60E85BB834C4,21.75,29.62,3173.21,584,17.96,91.59,2622.49,187.03,,,,
2024-10-16T00:25:50Z,1729005950,60E85BB834C4,21.02,28.56,3156.19,523,17.94,91.55,2608.42,181.38,,,,
2024-10-16T00:26:50Z,1729006010,60E85BB834C4,21.65,29.41,3156.19,472,17.93,91.63,2608.42,186.95,,,,
2024-10-16T00:27:50Z,1729006070,60E85BB834C4,22.92,31.34,3156.19,444,17.92,91.59,2608.42,195.94,,,,
2024-10-16T00:28:50Z,1729006130,60E85BB834C4,23.47,32.12,3156.19,570,17.9,91.6,2608.42,200.37,,,,
2024-10-16T00:29:50Z,1729006190,60E85BB834C4,21.74,29.65,3156.19,518,17.91,91.59,2608.42,186.61,,,,
2024-10-16T00:30:50Z,1729006250,60E85BB834C4,22.98,31.47,3156.19,470,17.88,91.63,2608.42,196.1,,,,
2024-10-16T00:31:50Z,1729006310,60E85BB834C4,22.77,30.89,3156.19,442,17.9,91.57,2608.42,196.94,,,,
2024-10-16T00:32:50Z,1729006370,60E85BB834C4,22.33,30.33,3156.19,575,17.86,91.57,2608.42,192.77,,,,
2024-10-16T00:33:50Z,1729006430,60E85BB834C4,22.73,30.93,3139.28,530,17.89,91.58,2594.45,195.71,,,,
2024-10-16T00:34:50Z,1729006490,60E85BB834C4,21.84,30.06,3139.28,471,17.86,91.62,2594.45,184.97,,,,
2024-10-16T00:35:50Z,1729006550,60E85BB834C4,23.47,32.01,3139.28,452,17.86,91.63,2594.45,201.53,,,,
2024-10-16T00:36:50Z,1729006610,60E85BB834C4,21.81,30.02,3139.28,496,17.85,91.59,2594.45,184.68,,,,
2024-10-16T00:37:50Z,1729006670,60E85BB834C4,22.59,31.01,3139.28,576,17.85,91.63,2594.45,192.15,,,,
2024-10-16T00:38:50Z,1729006730,60E85BB834C4,22.22,30.6,3139.28,499,17.85,91.55,2594.45,188.02,,,,
2024-10-16T00:39:50Z,1729006790,60E85BB834C4,22.14,30.23,3139.28,455,17.87,91.6,2594.45,189.73,,,,
2024-10-16T00:40:50Z,1729006850,60E85BB834C4,22.11,30.09,3139.28,468,17.87,91.54,2594.45,190.35,,,,
2024-10-16T00:41:50Z,1729006910,60E85BB834C4,22.58,30.8,3139.28,544,17.85,91.5,2594.45,193.77,,,,
2024-10-16T00:42:50Z,1729006970,60E85BB834C4,22.83,31.04,3139.28,488,17.87,91.58,2594.45,196.8,,,,
2024-10-16T00:43:50Z,1729007030,60E85BB834C4,21.92,29.78,3139.28,446,17.82,91.61,2594.45,189.07,,,,
2024-10-16T00:44:50Z,1729007090,60E85BB834C4,21.88,29.64,3156.19,450,17.83,91.58,2608.42,189.74,,,,
2024-10-16T00:45:50Z,1729007150,60E85BB834C4,21.75,29.33,3156.19,561,17.84,91.59,2608.42,189.66,,,,
2024-10-16T00:46:50Z,1729007210,60E85BB834C4,23.32,31.65,3156.19,498,17.8,91.57,2608.42,201.56,,,,
2024-10-16T00:47:50Z,1729007270,60E85BB834C4,22.86,31.25,3156.19,461,17.82,91.57,2608.42,195.61,,,,
2024-10-16T00:48:50Z,1729007330,60E85BB834C4,22.23,30.38,3156.19,441,17.82,91.54,2608.42,190.27,,,,
2024-10-16T00:49:50Z,1729007390,60E85BB834C4,23.1,31.61,3156.19,572,17.79,91.5,2608.42,197.38,,,,
2024-10-16T00:50:50Z,1729007450,60E85BB834C4,21.77,29.53,3156.19,530,17.78,91.52,2608.42,188.26,,,,
2024-10-16T00:51:50Z,1729007510,60E85BB834C4,23.14,31.69,3156.19,462,17.82,91.49,2608.42,197.45,,,,
2024-10-16T00:52:50Z,1729007570,60E85BB834C4,23.14,31.66,3156.19,447,17.76,91.67,2608.42,197.63,,,,
2024-10-16T00:53:50Z,1729007630,60E85BB834C4,22.66,30.59,3156.19,520,17.78,91.68,2608.42,197.5,,,,
2024-10-16T00:54:50Z,1729007690,60E85BB834C4,22.67,30.79,3156.19,541,17.75,91.71,2608.42,195.68,,,,
2024-10-16T00:55:50Z,1729007750,60E85BB834C4,22.97,31.06,3156.19,473,17.75,91.7,2608.42,199.62,,,,
2024-10-16T00:56:50Z,1729007810,60E85BB834C4,21.91,29.56,3156.19,438,17.73,91.77,2608.42,191.03,,,,
2024-10-16T00:57:50Z,1729007870,60E85BB834C4,22.46,30.49,3156.19,528,17.72,91.76,2608.42,194.05,,,,
2024-10-16T00:58:50Z,1729007930,60E85BB834C4,23.43,32.28,3156.19,545,17.73,91.88,2608.42,198.16,,,,
2024-10-16T00:59:50Z,1729007990,60E85BB834C4,24.1,32.95,3156.19,480,17.74,91.92,2608.42,206.2,,,,
2024-10-16T01:00:50Z,1729008050,60E85BB834C4,23.75,32.41,3156.19,454,17.73,91.99,2608.42,203.68,,,,
2024-10-16T01:01:50Z,1729008110,60E85BB834C4,23.95,33.01,3156.19,527,17.74,91.91,2608.42,202.37,,,,
2024-10-16T01:02:50Z,1729008170,60E85BB834C4,23.12,31.63,3156.19,548,17.72,91.98,2608.42,197.6,,,,
2024-10-16T01:03:50Z,1729008230,60E85BB834C4,25.04,34.24,3156.19,487,17.73,91.94,2608.42,214.08,,,,
2024-10-16T01:04:50Z,1729008290,60E85BB834C4,24.45,33.46,3156.19,449,17.74,91.98,2608.42,208.75,,,,
2024-10-16T01:05:50Z,1729008350,60E85BB834C4,23.18,31.5,3156.19,456,17.73,91.92,2608.42,199.95,,,,
2024-10-16T01:06:50Z,1729008410,60E85BB834C4,23.1,31.34,3139.28,558,17.76,91.85,2594.45,199.85,,,,
2024-10-16T01:07:50Z,1729008470,60E85BB834C4,22.75,30.9,3139.28,494,17.76,91.87,2594.45,196.52,,,,
2024-10-16T01:08:50Z,1729008530,60E85BB834C4,23.23,31.44,3139.28,463,17.71,91.88,2594.45,201.67,,,,
2024-10-16T01:09:50Z,1729008590,60E85BB834C4,24.48,33.37,3139.28,459,17.73,91.79,2594.45,210.22,,,,
2024-10-16T01:10:50Z,1729008650,60E85BB834C4,25.35,34.99,3139.28,573,17.7,91.85,2594.45,213.73,,,,
2024-10-16T01:11:50Z,1729008710,60E85BB834C4,24.18,33.3,3139.28,490,17.7,91.87,2594.45,204.65,,,,
2024-10-16T01:12:50Z,1729008770,60E85BB834C4,24.3,33.1,3139.28,454,17.7,91.86,2594.45,209.04,,,,
2024-10-16T01:13:50Z,1729008830,60E85BB834C4,23,31.01,3139.28,444,17.69,91.89,2594.45,200.64,,,,
2024-10-16T01:14:50Z,1729008890,60E85BB834C4,23.65,32.27,3139.28,560,17.7,91.86,2594.45,202.79,,,,
2024-10-16T01:15:50Z,1729008950,60E85BB834C4,24.46,33.4,3139.28,513,17.7,91.88,2594.45,209.57,,,,
2024-10-16T01:16:50Z,1729009010,60E85BB834C4,24.23,33.44,3139.28,470,17.67,91.83,2594.45,204.35,,,,
2024-10-16T01:17:50Z,1729009070,60E85BB834C4,24.65,33.91,3139.28,443,17.65,91.78,2594.45,209.02,,,,
2024-10-16T01:18:50Z,1729009130,60E85BB834C4,23.48,31.5,3139.28,557,17.67,91.76,2594.45,206.37,,,,
2024-10-16T01:19:50Z,1729009190,60E85BB834C4,24.82,33.62,3139.28,527,17.63,91.83,2594.45,215.01,,,,
2024-10-16T01:20:50Z,1729009250,60E85BB834C4,23.66,32.27,3139.28,478,17.64,91.91,2594.45,202.99,,,,
2024-10-16T01:21:50Z,1729009310,60E85BB834C4,24.93,34.13,3139.28,454,17.66,91.8,2594.45,212.74,,,,
2024-10-16T01:22:50Z,1729009370,60E85BB834C4,23.62,32.48,3139.28,510,17.63,91.8,2594.45,200.38,,,,
2024-10-16T01:23:50Z,1729009430,60E85BB834C4,24.85,33.9,3139.28,563,17.64,91.83,2594.45,213.36,,,,
2024-10-16T01:24:50Z,1729009490,60E85BB834C4,24.26,33.35,3139.28,488,17.63,91.78,2594.45,205.92,,,,
2024-10-16T01:25:50Z,1729009550,60E85BB834C4,24,32.93,3139.28,446,17.63,91.81,2594.45,204.13,,,,
2024-10-16T01:26:50Z,1729009610,60E85BB834C4,24.32,33.08,3122.47,460,17.65,91.76,2580.56,209.6,,,,
2024-10-16T01:27:50Z,1729009670,60E85BB834C4,23.92,32.62,3122.47,558,17.63,91.84,2580.56,205.38,,,,
2024-10-16T01:28:50Z,1729009730,60E85BB834C4,24.84,33.67,3122.47,491,17.63,91.68,2580.56,215.12,,,,
2024-10-16T01:29:50Z,1729009790,60E85BB834C4,25.16,34.49,3122.47,459,17.59,91.69,2580.56,214.28,,,,
2024-10-16T01:30:50Z,1729009850,60E85BB834C4,25.44,35.13,3105.77,465,17.59,91.7,2566.75,214.41,,,,
2024-10-16T01:31:50Z,1729009910,60E85BB834C4,24.21,33.08,3105.77,566,17.58,91.68,2566.75,207.15,,,,
2024-10-16T01:32:50Z,1729009970,60E85BB834C4,23.79,32.62,3105.77,504,17.61,91.59,2566.75,202.66,,,,
