CALENDAR(GMT 9),TIMESTAMP,MACADDR,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,,,
2024-10-20T00:00:59Z,1729350059,60E85BB84CE4,0.43,0.57,111.3,539,14.23,61.5,91.99,3.77,,,
2024-10-20T00:01:59Z,1729350119,60E85BB84CE4,0.64,0.85,111.3,651,14.17,61.15,91.99,5.58,,,
2024-10-20T00:02:59Z,1729350179,60E85BB84CE4,0.52,0.69,111.3,525,14.17,61.37,91.99,4.61,,,
2024-10-20T00:03:59Z,1729350239,60E85BB84CE4,0.32,0.43,111.3,471,14.21,61.06,91.99,2.87,,,
2024-10-20T00:04:59Z,1729350299,60E85BB84CE4,0.64,0.86,111.3,456,14.17,61,91.99,5.52,,,555.0909722
2024-10-20T00:05:59Z,1729350359,60E85BB84CE4,0.42,0.57,111.3,564,14.19,61.05,91.99,3.63,,,
2024-10-20T00:06:59Z,1729350419,60E85BB84CE4,0.66,0.9,111.3,669,14.17,60.54,91.99,5.78,,,
2024-10-20T00:07:59Z,1729350479,60E85BB84CE4,0.77,1.04,111.3,533,14.15,60.74,91.99,6.71,,,
2024-10-20T00:08:59Z,1729350539,60E85BB84CE4,0.61,0.82,111.3,466,14.11,60.54,91.99,5.25,,,
2024-10-20T00:09:59Z,1729350599,60E85BB84CE4,0.49,0.66,111.3,451,14.12,60.66,91.99,4.2,,,
2024-10-20T00:10:59Z,1729350659,60E85BB84CE4,0.33,0.45,111.3,749,14.09,60.59,91.99,2.93,,,
2024-10-20T00:11:59Z,1729350719,60E85BB84CE4,0.55,0.73,111.3,638,14.11,60.93,91.99,4.83,,,
2024-10-20T00:12:59Z,1729350779,60E85BB84CE4,0.59,0.79,111.3,526,14.1,60.64,91.99,5.15,,,
2024-10-20T00:13:59Z,1729350839,60E85BB84CE4,0.44,0.6,111.3,467,14.04,60.89,91.99,3.87,,,
2024-10-20T00:14:59Z,1729350899,60E85BB84CE4,0.65,0.88,111.3,458,14.06,60.49,91.99,5.66,,,
2024-10-20T00:15:59Z,1729350959,60E85BB84CE4,0.52,0.7,111.3,636,14.04,60.99,91.99,4.51,,,
2024-10-20T00:16:59Z,1729351019,60E85BB84CE4,0.46,0.62,111.3,550,14.02,60.96,91.99,4.06,,,
2024-10-20T00:17:59Z,1729351079,60E85BB84CE4,0.57,0.77,105.86,477,14.05,60.78,87.49,5.05,,,
2024-10-20T00:18:59Z,1729351139,60E85BB84CE4,0.76,1.02,105.86,459,14.05,61.21,87.49,6.68,,,
2024-10-20T00:19:59Z,1729351199,60E85BB84CE4,0.63,0.85,105.86,720,14.03,60.69,87.49,5.55,,,
2024-10-20T00:20:59Z,1729351259,60E85BB84CE4,0.78,1.05,105.86,605,13.95,60.58,87.49,6.78,,,
2024-10-20T00:21:59Z,1729351319,60E85BB84CE4,0.57,0.76,105.86,493,14.02,61.71,87.49,5.07,,,
2024-10-20T00:22:59Z,1729351379,60E85BB84CE4,0.58,0.77,105.86,471,14.01,61.47,87.49,5.13,,,
2024-10-20T00:23:59Z,1729351439,60E85BB84CE4,0.44,0.58,105.86,779,14.1,62.04,87.49,3.86,,,
2024-10-20T00:24:59Z,1729351499,60E85BB84CE4,0.68,0.91,105.86,725,14.03,61.21,87.49,6.02,,,
2024-10-20T00:25:59Z,1729351559,60E85BB84CE4,0.54,0.71,105.86,534,14.02,61.69,87.49,4.74,,,
2024-10-20T00:26:59Z,1729351619,60E85BB84CE4,0.49,0.65,105.86,483,13.97,61.11,87.49,4.33,,,
2024-10-20T00:27:59Z,1729351679,60E85BB84CE4,0.54,0.72,105.86,459,13.99,61.46,87.49,4.79,,,
2024-10-20T00:28:59Z,1729351739,60E85BB84CE4,0.62,0.83,105.86,637,14.04,61.66,87.49,5.5,,,
2024-10-20T00:29:59Z,1729351799,60E85BB84CE4,0.69,0.92,105.86,677,14,60.05,87.49,6.01,,,
2024-10-20T00:30:59Z,1729351859,60E85BB84CE4,0.59,0.8,105.86,512,14.01,60.73,87.49,5.14,,,
2024-10-20T00:31:59Z,1729351919,60E85BB84CE4,0.62,0.83,105.86,479,13.99,60.82,87.49,5.35,,,
2024-10-20T00:32:59Z,1729351979,60E85BB84CE4,0.55,0.74,105.86,452,13.97,61.29,87.49,4.79,,,
2024-10-20T00:33:59Z,1729352039,60E85BB84CE4,0.63,0.85,105.86,657,13.97,60.47,87.49,5.46,,,
2024-10-20T00:34:59Z,1729352099,60E85BB84CE4,0.57,0.77,105.86,627,13.99,60.58,87.49,5,,,
2024-10-20T00:35:59Z,1729352159,60E85BB84CE4,0.62,0.84,105.86,515,13.93,60.53,87.49,5.42,,,
2024-10-20T00:36:59Z,1729352219,60E85BB84CE4,0.59,0.79,105.86,469,13.89,61.01,87.49,5.09,,,
2024-10-20T00:37:59Z,1729352279,60E85BB84CE4,0.97,1.31,105.86,486,13.95,60.71,87.49,8.43,,,
2024-10-20T00:38:59Z,1729352339,60E85BB84CE4,0.61,0.82,105.86,633,13.93,61.03,87.49,5.3,,,
2024-10-20T00:39:59Z,1729352399,60E85BB84CE4,0.59,0.8,105.86,538,13.91,61,87.49,5.15,,,
2024-10-20T00:40:59Z,1729352459,60E85BB84CE4,0.65,0.88,105.86,474,13.9,61.33,87.49,5.68,,,
2024-10-20T00:41:59Z,1729352519,60E85BB84CE4,0.59,0.79,105.86,464,13.9,60.91,87.49,5.12,,,
2024-10-20T00:42:59Z,1729352579,60E85BB84CE4,0.54,0.73,105.86,684,13.9,60.82,87.49,4.75,,,
2024-10-20T00:43:59Z,1729352639,60E85BB84CE4,0.52,0.7,105.86,597,13.89,60.73,87.49,4.54,,,
2024-10-20T00:44:59Z,1729352699,60E85BB84CE4,0.71,0.96,105.86,503,13.93,60.81,87.49,6.2,,,
2024-10-20T00:45:59Z,1729352759,60E85BB84CE4,0.73,0.99,105.86,466,13.8,60.97,87.49,6.4,,,
2024-10-20T00:46:59Z,1729352819,60E85BB84CE4,0.79,1.07,105.86,558,13.83,60.41,87.49,6.85,,,
2024-10-20T00:47:59Z,1729352879,60E85BB84CE4,0.76,1.03,105.86,602,13.77,60.82,87.49,6.49,,,
2024-10-20T00:48:59Z,1729352939,60E85BB84CE4,0.69,0.94,105.86,513,13.78,61.37,87.49,5.89,,,
2024-10-20T00:49:59Z,1729352999,60E85BB84CE4,0.77,1.06,105.86,461,13.8,60.9,87.49,6.52,,,
