CALENDAR(GMT 9),TIMESTAMP,MACADDR,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,,,
2024-10-18T00:00:59Z,1729177259,60E85BB84CE4,5.49,7.32,116.76,422,21.15,62.23,96.49,48.62,,,
2024-10-18T00:01:59Z,1729177319,60E85BB84CE4,5.35,7.16,116.76,420,21.19,62.12,96.49,47.23,,,
2024-10-18T00:02:59Z,1729177379,60E85BB84CE4,5.21,7.01,116.76,418,21.17,62.11,96.49,45.48,,,
2024-10-18T00:03:59Z,1729177439,60E85BB84CE4,5.51,7.38,116.76,418,21.18,62.19,96.49,48.5,,,
2024-10-18T00:04:59Z,1729177499,60E85BB84CE4,5.37,7.18,116.76,418,21.13,62.36,96.49,47.53,,,
2024-10-18T00:05:59Z,1729177559,60E85BB84CE4,5.21,6.95,116.76,418,21.08,62.53,96.49,46.11,,,
2024-10-18T00:06:59Z,1729177619,60E85BB84CE4,5.67,7.58,116.76,418,21.04,62.59,96.49,50,,,
2024-10-18T00:07:59Z,1729177679,60E85BB84CE4,5.42,7.29,116.76,419,21.01,62.73,96.49,47.54,,,
2024-10-18T00:08:59Z,1729177739,60E85BB84CE4,5.45,7.31,116.76,419,21.02,62.88,96.49,48,,,
2024-10-18T00:09:59Z,1729177799,60E85BB84CE4,5.48,7.31,116.76,417,21,62.72,96.49,48.58,,,490.8902778
2024-10-18T00:10:59Z,1729177859,60E85BB84CE4,5.27,7.03,116.76,416,21.01,62.67,96.49,46.73,,,
2024-10-18T00:11:59Z,1729177919,60E85BB84CE4,5.35,7.13,116.76,414,20.97,62.9,96.49,47.37,,,
2024-10-18T00:12:59Z,1729177979,60E85BB84CE4,5.77,7.7,116.76,415,21.05,62.65,96.49,51.16,,,
2024-10-18T00:13:59Z,1729178039,60E85BB84CE4,5.38,7.18,116.76,416,21.04,62.82,96.49,47.69,,,
2024-10-18T00:14:59Z,1729178099,60E85BB84CE4,6.22,8.29,116.76,414,21,62.81,96.49,55.08,,,
2024-10-18T00:15:59Z,1729178159,60E85BB84CE4,5.32,7.1,116.76,414,21.01,62.92,96.49,47.01,,,
2024-10-18T00:16:59Z,1729178219,60E85BB84CE4,5.44,7.26,116.76,414,21,62.79,96.49,48.24,,,
2024-10-18T00:17:59Z,1729178279,60E85BB84CE4,5.26,7.01,116.76,415,21,62.81,96.49,46.6,,,
2024-10-18T00:18:59Z,1729178339,60E85BB84CE4,5.01,6.68,116.76,413,20.99,62.98,96.49,44.37,,,
2024-10-18T00:19:59Z,1729178399,60E85BB84CE4,5.76,7.68,116.76,415,20.92,63.21,96.49,51.04,,,
2024-10-18T00:20:59Z,1729178459,60E85BB84CE4,5.45,7.27,116.76,416,20.97,63.03,96.49,48.34,,,
2024-10-18T00:21:59Z,1729178519,60E85BB84CE4,5.38,7.18,116.76,422,20.97,63.07,96.49,47.7,,,
2024-10-18T00:22:59Z,1729178579,60E85BB84CE4,5.31,7.09,116.76,420,20.98,63.31,96.49,47.09,,,
2024-10-18T00:23:59Z,1729178639,60E85BB84CE4,5.45,7.28,116.76,420,20.95,63.21,96.49,48.3,,,
2024-10-18T00:24:59Z,1729178699,60E85BB84CE4,5.72,7.63,116.76,421,20.93,63.23,96.49,50.74,,,
2024-10-18T00:25:59Z,1729178759,60E85BB84CE4,5.68,7.57,116.76,421,20.92,63.39,96.49,50.3,,,
2024-10-18T00:26:59Z,1729178819,60E85BB84CE4,5.36,7.15,116.76,423,20.96,63.21,96.49,47.53,,,
2024-10-18T00:27:59Z,1729178879,60E85BB84CE4,5.5,7.33,116.76,421,20.97,63.09,96.49,48.72,,,
2024-10-18T00:28:59Z,1729178939,60E85BB84CE4,5.7,7.6,116.76,423,20.93,63.25,96.49,50.5,,,
2024-10-18T00:29:59Z,1729178999,60E85BB84CE4,5.9,7.92,116.76,424,20.95,63.24,96.49,51.85,,,
