CALENDAR(GMT 9),TIMESTAMP,MACADDR,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,,
2024-06-02T00:00:35Z,1717254035,60E85BB834C4,5.42,7.23,720.39,540,17.77,62.1,595.36,48.03,,
2024-06-02T00:01:35Z,1717254095,60E85BB834C4,5.3,7.07,706.75,643,17.72,62.31,584.09,47.01,,
2024-06-02T00:02:35Z,1717254155,60E85BB834C4,4.94,6.59,699.95,531,17.72,62.23,578.47,43.82,,
2024-06-02T00:03:35Z,1717254215,60E85BB834C4,5.66,7.54,686.41,509,17.69,62.11,567.28,50.14,,
2024-06-02T00:04:35Z,1717254275,60E85BB834C4,5.07,6.76,679.67,615,17.68,62.42,561.71,44.96,,
2024-06-02T00:05:35Z,1717254335,60E85BB834C4,4.95,6.6,679.67,520,17.58,62.83,561.71,43.87,,
2024-06-02T00:06:35Z,1717254395,60E85BB834C4,5.11,6.81,679.67,474,17.69,62.44,561.71,45.27,,
2024-06-02T00:07:35Z,1717254455,60E85BB834C4,5.07,6.76,679.67,673,17.7,62.16,561.71,44.92,,
2024-06-02T00:08:35Z,1717254515,60E85BB834C4,5.31,7.08,679.67,565,17.73,61.84,561.71,47.04,,506.6590278
2024-06-02T00:09:35Z,1717254575,60E85BB834C4,4.98,6.64,679.67,486,17.61,62.07,561.71,44.1,,
2024-06-02T00:10:35Z,1717254635,60E85BB834C4,5.22,6.96,666.23,675,17.72,61.84,550.61,46.24,,
2024-06-02T00:11:35Z,1717254695,60E85BB834C4,5.27,7.03,666.23,598,17.7,61.68,550.61,46.73,,
2024-06-02T00:12:35Z,1717254755,60E85BB834C4,4.91,6.54,659.54,492,17.61,61.85,545.07,43.5,,
2024-06-02T00:13:35Z,1717254815,60E85BB834C4,4.82,6.43,659.54,512,17.59,62.1,545.07,42.71,,
2024-06-02T00:14:35Z,1717254875,60E85BB834C4,5.61,7.48,652.86,679,17.69,61.36,539.56,49.73,,
2024-06-02T00:15:35Z,1717254935,60E85BB834C4,4.87,6.49,646.2,546,17.69,61.23,534.05,43.16,,
2024-06-02T00:16:35Z,1717254995,60E85BB834C4,4.79,6.39,639.56,471,17.7,61.32,528.56,42.47,,
2024-06-02T00:17:35Z,1717255055,60E85BB834C4,4.69,6.25,632.93,617,17.76,61.13,523.08,41.57,,
2024-06-02T00:18:35Z,1717255115,60E85BB834C4,4.96,6.62,632.93,617,17.63,61.36,523.08,43.99,,
2024-06-02T00:19:35Z,1717255175,60E85BB834C4,4.62,6.16,632.93,510,17.63,61.3,523.08,40.93,,
2024-06-02T00:20:35Z,1717255235,60E85BB834C4,4.65,6.2,626.32,485,17.61,61.21,517.62,41.2,,
2024-06-02T00:21:35Z,1717255295,60E85BB834C4,4.76,6.35,626.32,686,17.69,61.12,517.62,42.23,,
2024-06-02T00:22:35Z,1717255355,60E85BB834C4,4.83,6.44,626.32,564,17.71,61.21,517.62,42.83,,
2024-06-02T00:23:35Z,1717255415,60E85BB834C4,5.04,6.73,626.32,503,17.75,61.21,517.62,44.71,,
2024-06-02T00:24:35Z,1717255475,60E85BB834C4,5.16,6.87,619.73,532,17.6,61.99,512.17,45.7,,
2024-06-02T00:25:35Z,1717255535,60E85BB834C4,5.1,6.8,619.73,631,17.62,62.1,512.17,45.19,,
2024-06-02T00:26:35Z,1717255595,60E85BB834C4,4.43,5.91,626.32,516,17.61,62.22,517.62,39.3,,
2024-06-02T00:27:35Z,1717255655,60E85BB834C4,5.03,6.71,626.32,482,17.57,62.14,517.62,44.57,,
2024-06-02T00:28:35Z,1717255715,60E85BB834C4,5.18,6.91,632.93,674,17.57,62.3,523.08,45.9,,
2024-06-02T00:29:35Z,1717255775,60E85BB834C4,4.81,6.41,646.2,591,17.58,62.42,534.05,42.6,,
2024-06-02T00:30:35Z,1717255835,60E85BB834C4,4.74,6.32,659.54,509,17.56,62.3,545.07,41.98,,
2024-06-02T00:31:35Z,1717255895,60E85BB834C4,5.13,6.84,652.86,605,17.61,61.44,539.56,45.49,,
2024-06-02T00:32:35Z,1717255955,60E85BB834C4,4.98,6.64,652.86,691,17.72,60.56,539.56,44.15,,
2024-06-02T00:33:35Z,1717256015,60E85BB834C4,4.58,6.11,646.2,529,17.75,60.18,534.05,40.63,,
2024-06-02T00:34:35Z,1717256075,60E85BB834C4,4.54,6.05,639.56,475,17.79,59.68,528.56,40.2,,
2024-06-02T00:35:35Z,1717256135,60E85BB834C4,5.4,7.2,632.93,704,17.82,59.41,523.08,47.87,,
2024-06-02T00:36:35Z,1717256195,60E85BB834C4,4.71,6.27,626.32,576,17.84,59.17,517.62,41.71,,
2024-06-02T00:37:35Z,1717256255,60E85BB834C4,5.25,7,600.04,489,17.84,58.28,495.9,46.56,,
2024-06-02T00:38:35Z,1717256315,60E85BB834C4,4.82,6.42,548.24,523,17.9,58.77,453.09,42.68,,
2024-06-02T00:39:35Z,1717256375,60E85BB834C4,4.81,6.41,491.14,682,17.89,58.68,405.9,42.6,,
2024-06-02T00:40:35Z,1717256435,60E85BB834C4,4.52,6.03,441.38,543,17.98,58.41,364.77,40.1,,
2024-06-02T00:41:35Z,1717256495,60E85BB834C4,5.07,6.76,404.66,492,18.05,57.77,334.43,44.95,,
2024-06-02T00:42:35Z,1717256555,60E85BB834C4,4.6,6.13,386.48,720,18,57.89,319.41,40.74,,
