CALENDAR(GMT 9),TIMESTAMP,MACADDR,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,,
2024-06-01T00:00:29Z,1717167629,60E85BB834C4,11.83,15.78,1264.4,921,17.9,90.17,1044.96,104.86,,
2024-06-01T00:01:29Z,1717167689,60E85BB834C4,12.34,16.45,1315.14,617,17.99,90.05,1086.89,109.32,,
2024-06-01T00:02:29Z,1717167749,60E85BB834C4,11.28,15.03,1358.17,524,17.97,90.15,1122.45,99.93,,
2024-06-01T00:03:29Z,1717167809,60E85BB834C4,12.01,16.02,1393.09,675,18.01,89.65,1151.32,106.46,,
2024-06-01T00:04:29Z,1717167869,60E85BB834C4,11.54,15.39,1428.48,812,18.01,89.7,1180.56,102.22,,
2024-06-01T00:05:29Z,1717167929,60E85BB834C4,12.69,16.93,1428.48,562,17.98,89.98,1180.56,112.5,,
2024-06-01T00:06:29Z,1717167989,60E85BB834C4,13.49,18.36,1401.9,484,17.91,89.79,1158.59,116.09,,
2024-06-01T00:07:29Z,1717168049,60E85BB834C4,13.02,17.82,1384.32,833,18,89.77,1144.07,111.14,,
2024-06-01T00:08:29Z,1717168109,60E85BB834C4,13.45,17.93,1358.17,652,17.94,89.58,1122.45,119.18,,630.7340278
2024-06-01T00:09:29Z,1717168169,60E85BB834C4,13.02,17.49,1315.14,539,17.91,89.75,1086.89,114.11,,
2024-06-01T00:10:29Z,1717168229,60E85BB834C4,12.94,17.25,1247.7,554,17.95,89.83,1031.15,114.67,,
2024-06-01T00:11:29Z,1717168289,60E85BB834C4,12.63,16.84,1231.1,814,17.92,89.81,1017.44,111.9,,
2024-06-01T00:12:29Z,1717168349,60E85BB834C4,13.96,18.69,1198.21,595,17.88,89.72,990.25,122.98,,
2024-06-01T00:13:29Z,1717168409,60E85BB834C4,15.53,21.04,1101.89,504,17.92,89.41,910.65,134.64,,
2024-06-01T00:14:29Z,1717168469,60E85BB834C4,15.65,21.43,978.62,742,17.88,89.48,808.77,133.65,,
2024-06-01T00:15:29Z,1717168529,60E85BB834C4,16.87,23.1,926.42,681,17.91,89.48,765.64,143.86,,
