CALENDAR(GMT 9),TIMESTAMP,MACADDR,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
2024-11-23T00:00:18Z,1732287618,60E85BB84CE4,9.48,12.64,904.36,661,4.35,46.1,747.4,84.02
2024-11-23T00:01:18Z,1732287678,60E85BB84CE4,9.26,12.34,897.04,529,4.38,46.3,741.36,82.03
2024-11-23T00:02:18Z,1732287738,60E85BB84CE4,9.36,12.49,889.75,470,4.35,46.37,735.33,82.79
2024-11-23T00:03:18Z,1732287798,60E85BB84CE4,9.06,12.09,889.75,446,4.38,46.46,735.33,80.33
2024-11-23T00:04:18Z,1732287858,60E85BB84CE4,9.12,12.16,882.47,652,4.37,46.7,729.32,80.85
2024-11-23T00:05:18Z,1732287918,60E85BB84CE4,9.42,12.6,875.22,596,4.35,47.02,723.32,83.17
2024-11-23T00:06:18Z,1732287978,60E85BB84CE4,9.6,12.94,875.22,501,4.36,47.39,723.32,83.68
2024-11-23T00:07:18Z,1732288038,60E85BB84CE4,8.82,11.83,875.22,469,4.33,47.43,723.32,77.53
2024-11-23T00:08:18Z,1732288098,60E85BB84CE4,9.08,12.12,875.22,454,4.35,47.39,723.32,80.29
2024-11-23T00:09:18Z,1732288158,60E85BB84CE4,9.25,12.4,875.22,654,4.36,47.41,723.32,81.23
2024-11-23T00:10:18Z,1732288218,60E85BB84CE4,9.24,12.4,875.22,563,4.38,47.39,723.32,81.24
2024-11-23T00:11:18Z,1732288278,60E85BB84CE4,9.24,12.33,875.22,490,4.38,47.59,723.32,81.77
2024-11-23T00:12:18Z,1732288338,60E85BB84CE4,9.85,13.16,875.22,459,4.34,47.94,723.32,87
2024-11-23T00:13:18Z,1732288398,60E85BB84CE4,8.9,11.87,875.22,483,4.35,48.22,723.32,78.87
2024-11-23T00:14:18Z,1732288458,60E85BB84CE4,9.27,12.36,875.22,700,4.33,48.11,723.32,82.16
2024-11-23T00:15:18Z,1732288518,60E85BB84CE4,9.1,12.14,875.22,560,4.29,48.22,723.32,80.67
2024-11-23T00:16:18Z,1732288578,60E85BB84CE4,10.11,13.54,875.22,480,4.35,48.34,723.32,89.16
2024-11-23T00:17:18Z,1732288638,60E85BB84CE4,8.44,11.31,875.22,463,4.32,48.38,723.32,74.23
2024-11-23T00:18:18Z,1732288698,60E85BB84CE4,9.6,12.88,882.47,509,4.32,48.28,729.32,84.38
2024-11-23T00:19:18Z,1732288758,60E85BB84CE4,9.5,12.67,882.47,670,4.29,48.24,729.32,84.21
2024-11-23T00:20:18Z,1732288818,60E85BB84CE4,9.79,13.05,882.47,540,4.29,48.21,729.32,86.73
2024-11-23T00:21:18Z,1732288878,60E85BB84CE4,9.36,12.48,882.47,485,4.28,48.2,729.32,82.93
2024-11-23T00:22:18Z,1732288938,60E85BB84CE4,9.58,12.78,882.47,464,4.22,48.14,729.32,84.93
2024-11-23T00:23:18Z,1732288998,60E85BB84CE4,9.66,12.95,882.47,522,4.25,48.08,729.32,85.07
2024-11-23T00:24:18Z,1732289058,60E85BB84CE4,8.89,11.88,882.47,675,4.23,48.21,729.32,78.51
2024-11-23T00:25:18Z,1732289118,60E85BB84CE4,8.48,11.31,882.47,534,4.24,48.22,729.32,75.16
2024-11-23T00:26:18Z,1732289178,60E85BB84CE4,9.33,12.46,882.47,490,4.21,48.23,729.32,82.41
2024-11-23T00:27:18Z,1732289238,60E85BB84CE4,9.43,12.59,882.47,462,4.19,48.25,729.32,83.44
