CALENDAR(GMT 9),TIMESTAMP,MACADDR,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
2025-09-28T00:00:00Z,1758985200,60E85BB8254C,11.68,11.68,2114.92,428.00,23.22,76.40,1747.87,105.88
2025-09-28T00:10:00Z,1758985800,60E85BB8254C,12.48,12.48,1709.93,432.00,23.06,78.33,1413.16,113.11
2025-09-28T00:20:00Z,1758986400,60E85BB8254C,12.45,12.45,1800.46,441.00,23.05,79.67,1487.99,112.85
2025-09-28T00:30:00Z,1758987000,60E85BB8254C,13.01,13.01,1528.28,440.00,22.99,80.36,1263.04,117.97
2025-09-28T00:40:00Z,1758987600,60E85BB8254C,13.93,13.93,1349.51,437.00,23.13,78.33,1115.29,126.23
2025-09-28T00:50:00Z,1758988200,60E85BB8254C,13.69,13.69,1157.65,429.00,23.25,77.40,956.74,124.10
2025-09-28T01:00:00Z,1758988800,60E85BB8254C,14.62,14.62,1008.91,427.00,23.27,76.71,833.81,132.50
2025-09-28T01:10:00Z,1758989400,60E85BB8254C,15.61,15.65,727.24,426.00,23.45,75.99,601.02,141.04
2025-09-28T01:20:00Z,1758990000,60E85BB8254C,13.85,13.86,686.41,429.00,23.47,74.68,567.28,125.42
2025-09-28T01:30:00Z,1758990600,60E85BB8254C,13.66,13.66,686.41,426.00,23.48,74.16,567.28,123.78
2025-09-28T01:40:00Z,1758991200,60E85BB8254C,13.74,13.74,754.80,425.00,23.49,74.64,623.80,124.56
2025-09-28T01:50:00Z,1758991800,60E85BB8254C,13.72,13.72,734.10,431.00,23.50,73.06,606.69,124.40
2025-09-28T02:00:00Z,1758992400,60E85BB8254C,13.05,13.05,580.50,425.00,23.48,72.89,479.75,118.26
2025-09-28T02:10:00Z,1758993000,60E85BB8254C,13.61,13.63,429.08,427.00,23.48,72.15,354.61,123.15
2025-09-28T02:20:00Z,1758993600,60E85BB8254C,16.49,16.49,386.48,433.00,23.46,73.23,319.41,149.47
