CALENDAR(GMT 9),TIMESTAMP,MACADDR,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,,,,
2024-05-29T00:00:55Z,1716908455,60E85BB84C91,1.87,2.49,580.5,442,18.11,59.36,479.75,16.56,,,,
2024-05-29T00:01:55Z,1716908515,60E85BB84C91,1.6,2.13,593.51,443,18.08,59.54,490.5,14.18,,,,
2024-05-29T00:02:55Z,1716908575,60E85BB84C91,1.87,2.49,567.55,439,18.08,59.47,469.05,16.58,,,,
2024-05-29T00:03:55Z,1716908635,60E85BB84C91,1.75,2.33,510.03,440,18.08,59.58,421.52,15.49,,,,
2024-05-29T00:04:55Z,1716908695,60E85BB84C91,1.95,2.6,478.61,437,18.07,59.41,395.54,17.29,,,,
2024-05-29T00:05:55Z,1716908755,60E85BB84C91,1.51,2.02,466.14,434,18.11,59.55,385.24,13.42,,,,
2024-05-29T00:06:55Z,1716908815,60E85BB84C91,1.62,2.17,491.14,436,18.08,59.76,405.9,14.4,,,,
2024-05-29T00:07:55Z,1716908875,60E85BB84C91,1.57,2.09,541.83,437,18.02,60.12,447.8,13.92,,,,
2024-05-29T00:08:55Z,1716908935,60E85BB84C91,2.03,2.7,554.66,439,18.04,60.03,458.4,17.96,,,,
2024-05-29T00:09:55Z,1716908995,60E85BB84C91,1.73,2.31,535.44,438,18,60.19,442.52,15.37,,,,443.2859135
2024-05-29T00:10:55Z,1716909055,60E85BB84C91,1.94,2.59,510.03,438,18.01,60.32,421.52,17.2,,,,
2024-05-29T00:11:55Z,1716909115,60E85BB84C91,1.67,2.23,478.61,437,17.99,60.36,395.54,14.81,,,,
2024-05-29T00:12:55Z,1716909175,60E85BB84C91,1.79,2.38,466.14,439,18.02,60.18,385.24,15.83,,,,
2024-05-29T00:13:55Z,1716909235,60E85BB84C91,1.64,2.19,447.55,440,17.97,60.18,369.87,14.52,,,,
2024-05-29T00:14:55Z,1716909295,60E85BB84C91,1.76,2.35,422.95,443,17.91,60.58,349.55,15.63,,,,
2024-05-29T00:15:55Z,1716909355,60E85BB84C91,1.59,2.12,416.84,441,17.92,60.55,344.5,14.09,,,,
2024-05-29T00:16:55Z,1716909415,60E85BB84C91,1.88,2.51,398.58,440,17.92,60.58,329.41,16.68,,,,
2024-05-29T00:17:55Z,1716909475,60E85BB84C91,1.8,2.4,380.45,441,17.94,60.47,314.42,15.96,,,,
2024-05-29T00:18:55Z,1716909535,60E85BB84C91,1.7,2.26,374.43,437,17.96,60.33,309.45,15.04,,,,
2024-05-29T00:19:55Z,1716909595,60E85BB84C91,1.85,2.46,374.43,435,18.01,60.29,309.45,16.36,,,,
2024-05-29T00:20:55Z,1716909655,60E85BB84C91,2.04,2.72,392.53,439,17.93,60.75,324.4,18.06,,,,
2024-05-29T00:21:55Z,1716909715,60E85BB84C91,1.96,2.61,441.38,439,17.93,60.73,364.77,17.33,,,,
