,feature,id.x,formula,compound,pubchem,ionmass,NPC_pathway,NPC_superclass,NPC_class,ClassyFire_superclass,ClassyFire_class,ClassyFire_subclass,ClassyFire_level5,ClassyFire_most_specific,datafile.E2_B_3.mzML.area,datafile.E2_G_1.mzML.area,datafile.E2_B_5.mzML.area,datafile.E2_G_4.mzML.area,datafile.E2_G_2.mzML.area,datafile.E2_B_4.mzML.area,datafile.E2_S_3.mzML.area,datafile.E2_G_5.mzML.area,datafile.E2_B_1.mzML.area,datafile.E2_S_4.mzML.area,datafile.E2_C_1.mzML.area,datafile.E2_C_2.mzML.area,datafile.E2_G_3.mzML.area,datafile.E2_C_3.mzML.area,datafile.E1_B_5.mzML.area,datafile.E1_B_4.mzML.area,datafile.E2_S_5.mzML.area,datafile.E2_S_2.mzML.area,datafile.E1_B_3.mzML.area,datafile.E2_B_2.mzML.area,datafile.E2_S_1.mzML.area,datafile.A2_B_4.mzML.area,datafile.A2_G_2.mzML.area,datafile.E1_B_1.mzML.area,datafile.A1_S_5.mzML.area,datafile.A2_G_4.mzML.area,datafile.E1_B_2.mzML.area,datafile.A1_B_2.mzML.area,datafile.A1_G_5.mzML.area,datafile.A1_G_4.mzML.area,datafile.A1_G_3.mzML.area,datafile.A1_S_3.mzML.area,datafile.A1_B_4.mzML.area,datafile.A2_G_1.mzML.area,datafile.A1_B_3.mzML.area,datafile.A1_B_1.mzML.area,datafile.A1_S_4.mzML.area,datafile.A1_G_1.mzML.area,datafile.A1_B_5.mzML.area,datafile.E1_G_3.mzML.area,datafile.E1_G_5.mzML.area,datafile.A2_G_3.mzML.area,datafile.E1_G_4.mzML.area,datafile.A2_C_1.mzML.area,datafile.A1_G_2.mzML.area,datafile.A2_B_2.mzML.area,datafile.E1_C_1.mzML.area,datafile.A2_S_4.mzML.area,datafile.A2_C_3.mzML.area,datafile.E1_S_3.mzML.area,datafile.A2_S_5.mzML.area,datafile.E1_G_1.mzML.area,datafile.A1_C_3.mzML.area,datafile.A1_C_2.mzML.area,datafile.A1_C_1.mzML.area,datafile.E1_S_4.mzML.area,datafile.E1_G_6.mzML.area,datafile.A2_S_3.mzML.area,datafile.A2_B_1.mzML.area,datafile.E1_C_3.mzML.area,datafile.E1_S_2.mzML.area,datafile.A2_G_5.mzML.area,datafile.A2_B_5.mzML.area,datafile.E1_S_5.mzML.area,datafile.E1_C_2.mzML.area,datafile.A1_S_2.mzML.area,datafile.A1_S_1.mzML.area,datafile.E1_G_2.mzML.area,datafile.A2_C_2.mzML.area,datafile.A2_S_1.mzML.area,datafile.A2_B_3.mzML.area,datafile.E1_S_1.mzML.area,datafile.A2_S_2.mzML.area
2137,933.87511_1.3515,3242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6913.913743,3302.580702,3691.486179,3066.504529,3762.719454,5568.511815,4395.956511,4654.437331,7164.416438,3764.969759,2953.739607,3182.965174,4227.127456,3169.331705,4090.306892,2920.562269,6255.263979,6159.984804,2584.254162,5119.869297,6142.107311,1156.820714,7023.074793,3377.343737,4231.711875,5509.698971,4649.106198,5714.61248,3270.5872,4227.296503,3941.812133,10442.34442,6533.485152,3204.88797,7882.287358,8573.301211,7267.602379,3677.478686,7243.117535,3594.637357,4862.636781,4785.434939,3122.330137,4107.03217,5674.035331,9530.510194,2394.21357,10741.18116,4548.267898,5347.670351,8082.067898,3997.868203,6159.216245,6020.77226,5100.282638,5978.364956,6046.689743,8456.142079,6108.997734,4755.733837,2681.521959,4724.188042,11122.13133,7998.408269,3759.268913,8997.842076,7551.150233,3937.133598,4177.409278,5699.037034,8541.996462,10578.96692,9434.815114
2138,936.62807_0.5045,795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5704.692171,3822.413474,5674.785298,6599.523752,6754.099152,5246.573658,6203.605202,4772.653481,5023.217172,6765.869108,1.047796952,5730.1358,6112.396843,5665.410822,6146.718063,3809.385381,6926.524618,8872.245959,3438.845416,5079.862504,5163.878848,4.524132633,7954.997729,5169.907955,3.20584233,6395.509123,6933.398996,9090.974739,9300.112085,9637.313965,6054.765484,8572.576957,6884.363519,7436.80147,11161.96548,8112.58206,10414.13663,6236.06081,9362.612537,7122.767925,6238.011935,7539.275509,1.210205479,6540.585632,9437.861437,10596.40009,4798.678292,9141.182593,10060.49077,1.198223247,7265.663835,5356.453254,8121.711617,6911.61796,8005.692611,5854.087127,7957.860117,8650.49478,7661.646542,5558.321413,8715.43534,10765.40994,10308.79485,4461.734722,6782.602061,8372.054095,9433.396558,8467.856353,9049.036426,10468.08651,12870.15569,9539.961243,8594.320759
2139,937.20141_20.8021,8885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1419.777648,0.96623192,364.9308721,0.975972161,0.886597421,1594.024693,1.225524536,933.6487193,2745.437573,2254.264105,1.047796952,0.998107612,0.98191114,0.970104593,0.938143783,384.3532257,1152.576647,1360.411047,87.59094889,98.7667695,1072.830803,4.524132633,0.862891607,419.3881448,3.20584233,1.0043199,0.958578598,497.960695,1.10269292,0.886597421,0.934521606,1695.152104,247.0227023,1.014847362,0.850759564,697.9007352,0.796187815,0.96623192,247.2744169,1.090275207,504.7543712,1.107739569,1.210205479,1.095208579,0.870651424,92.33924625,1.139016922,1797.325246,1.052352591,289.2510918,639.9411492,0.985910778,1.006407883,1.120560629,0.916822333,491.7994441,0.86753081,2439.30636,1.195264671,1.149838935,0.977943822,1.032158191,1263.121347,2441.409958,1.090275207,1424.666254,0.886597421,1.023429581,1.1001868,1188.826455,2045.291917,2456.618733,1779.932982
2140,937.4803_20.625,8664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.983906894,0.96623192,0.958578598,0.975972161,0.886597421,0.783304517,1.225524536,0.862891607,0.864432485,1.025597864,1.047796952,0.998107612,0.98191114,0.970104593,87.33180471,1.0043199,70.73132368,0.778267189,0.930927292,1.000169818,1.006407883,4.524132633,0.862891607,1.123160538,256.1788606,1.0043199,147.4293883,1.110280256,1.10269292,56.59151337,202.3239276,366.5193738,1.082957923,1.014847362,2067.34574,68.64061194,587.1885139,204.4546742,175.8194572,478.1947057,95.76724734,1.107739569,1.210205479,1.095208579,58.97792747,1.136343173,97.24926479,0.972052594,1.052352591,653.0316696,1.107739569,373.4630025,1.006407883,1.120560629,0.916822333,1.002240563,0.86753081,0.899781026,1.195264671,82.78840334,158.5246935,1.032158191,0.979923465,509.3915119,70.99872146,384.5077213,363.2389633,647.4215529,1.1001868,0.76353658,61.83212202,423.7883773,1.063916905
2141,938.62694_0.5046,796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3789.025448,2871.641265,3823.770026,4920.851635,4085.440915,3351.76003,4125.115589,0.862891607,0.864432485,5365.928024,1.047796952,3843.712414,3927.644558,3981.309249,4073.420304,2572.063264,4894.301474,5894.595692,0.930927292,3743.635628,4288.30399,4.524132633,5954.814983,3663.749674,3.20584233,4229.191099,5047.874895,6116.533932,5814.499766,6137.913945,4616.536732,5949.888796,4504.022004,4918.965165,7524.117582,6116.44391,7476.203587,4385.726684,6888.86196,4421.065963,4500.094538,5201.945017,1.210205479,3882.514411,7100.162363,6838.513216,3104.960129,6670.2249,6665.60131,1.198223247,5619.562835,3986.037274,6378.613163,3537.609906,5199.29945,4149.27593,5174.82128,6299.36696,5997.838119,3751.924446,5444.213256,7251.943453,8548.85231,3559.882967,4852.814945,5036.737304,6619.336344,5839.689189,6551.612391,6495.405687,8918.008644,6698.438133,6511.171459
2142,939.89244_1.3525,3262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17552.89899,9272.927734,14896.31141,10891.84932,11596.69426,15783.58603,15221.01474,13417.9645,20634.00342,23240.0476,11808.67165,9649.704392,14807.21998,13241.92769,12120.81767,11780.67243,18100.06367,18133.62551,13237.78609,15982.71369,19785.97898,9518.775061,15782.2875,13320.68398,16462.00036,18067.715,13352.99986,17753.3813,16220.61285,13077.31196,10821.76019,23737.31605,20294.63149,11965.0504,22596.17401,23026.61237,22269.3732,15140.85418,22805.20263,12865.24744,14647.12211,12672.54067,10001.13808,12989.17374,15393.11718,26829.06232,8266.984819,29939.21989,14911.83621,19039.76739,22154.79139,13911.20107,17843.61177,16707.55898,17804.68971,20816.53649,16578.51377,24770.97164,19602.34061,14120.02213,13309.81541,16813.85694,26800.90677,23176.26384,19417.80143,20799.36647,22457.51267,13488.80188,16953.87858,20775.83034,26177.95026,28257.80599,29417.30242
2143,941.89322_1.349,3255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1791.694454,656.4579663,1089.903865,2649.764417,1531.153746,2974.207253,3213.325334,1703.348033,3192.349168,3014.232122,1945.75894,2669.937862,2312.400734,2117.738326,1734.627854,2373.207924,1940.017012,2553.494648,720.165353,3377.573474,3729.747615,878.1341442,2586.086148,2531.603852,3975.244489,1861.004775,1499.216927,2946.6838,1126.952164,2586.204677,1198.99122,2247.524462,3650.65116,2321.970765,2660.325156,3878.264664,1935.532579,1035.800618,2883.358585,1369.38566,2739.323476,1837.739945,1417.150616,1640.622451,1070.0306,3712.433147,532.0348042,3246.655664,2715.069684,2983.575885,3820.593774,1484.781631,3205.409108,3363.923009,3135.532379,3789.471568,3321.77547,4151.589652,2012.825706,2820.554908,1709.4458,3440.183252,5190.654595,4651.830925,2457.480316,4133.244019,3752.966882,1164.662863,1146.394645,4002.458753,4847.073902,3329.540929,3513.05362
2144,943.49635_20.6928,8734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1097.056187,0.96623192,0.958578598,0.975972161,0.886597421,612.1524804,73.55598266,0.862891607,143.3229061,142.6606629,1.047796952,0.998107612,0.98191114,0.970104593,253.2988213,416.8931905,521.7944997,270.8369819,0.930927292,86.93476056,124.8952183,4.524132633,57.15794008,1.123160538,1940.496362,1.0043199,141.2944853,716.9079615,386.9349455,684.0099102,98.03131644,3481.069618,562.8132328,1.014847362,1239.556684,1127.033057,4418.046188,0.96623192,799.3897816,79.45925707,69.18427891,1.107739569,1.210205479,1.095208579,582.9011284,1.136343173,1.139016922,107.2174011,1.052352591,85.67296216,498.5935801,0.985910778,107.8869251,201.0285769,72.35561851,64.34384412,60.61437767,1191.310078,188.7322916,1.149838935,0.977943822,70.88862459,1245.482724,1.105210484,1.090275207,3036.688484,1577.256812,71.84475658,1.1001868,1438.502917,1822.006773,293.8339548,628.7748909
2145,945.91188_1.3535,3268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8014.905557,4413.747409,7325.457643,5095.550652,5850.65638,8240.363524,8761.274909,6680.506825,9448.247065,10297.00255,5551.228251,4860.78407,7403.609992,4410.095479,6213.326272,6631.524299,9580.217091,9105.726115,4683.495205,7668.301993,8388.409706,6125.675586,8451.160403,6630.016654,9415.558922,8046.611038,6167.494697,8100.604751,7278.875963,6176.037634,5269.767335,12715.80186,10295.68098,6650.294765,10736.58569,12653.42254,9363.168709,6599.364012,11392.53724,6278.894915,8576.357458,7638.97207,5188.15089,6754.151305,6781.503942,13079.30992,2383.962417,13268.51791,7350.682847,9775.105249,11952.50995,7006.867896,7708.077977,7090.907661,9148.053238,8176.27851,7530.167428,12812.8818,10427.48899,6036.654411,4652.07876,8260.362006,13356.35683,11228.93851,7788.926077,11364.99448,10373.18982,7695.167019,8670.572167,9521.301154,14209.86655,12444.45439,14330.96071
2146,950.55398_21.1805,9254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,492.5437911,0.96623192,64.82867055,0.975972161,0.886597421,238.1245733,1.225524536,0.862891607,218.9607485,1.025597864,1.047796952,0.998107612,0.98191114,0.970104593,192.1318467,158.9838402,479.0108545,0.778267189,0.930927292,154.3262029,79.49615869,4.524132633,0.862891607,1.123160538,3407.810396,1.0043199,131.4211257,390.8186502,71.80736294,100.0968488,484.0821918,717.9976223,586.5300113,70.96827604,3062.73443,706.0310731,326.0389104,486.5943948,606.8639535,340.9290571,298.3442178,181.3369675,204.0406438,1.095208579,416.5196413,1.136343173,269.2636003,241.4578643,1.052352591,1669.124983,175.9090436,847.8832687,202.3886253,200.8044647,0.916822333,229.9139851,0.86753081,290.7192494,1.195264671,1.149838935,752.2343877,1.032158191,78.85444124,555.9208732,233.6459768,1366.652475,487.6285815,663.1823684,250.0724595,144.8428892,158.5324521,755.719207,106.2533813
