CALENDAR(GMT 9),TIMESTAMP,MACADDR,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,,,,
2024-05-28T00:00:28Z,1716822028,60E85BBA74C1,3.6,4.84,78.81,473,17,63.81,65.13,30.57,,,,
2024-05-28T00:01:28Z,1716822088,60E85BBA74C1,3.82,5.09,78.81,473,16.97,64.26,65.13,32.82,,,,
2024-05-28T00:02:28Z,1716822148,60E85BBA74C1,3.85,5.14,78.81,472,17.03,64.14,65.13,33.13,,,,
2024-05-28T00:03:28Z,1716822208,60E85BBA74C1,3.95,5.26,84.2,469,17.09,64.09,69.59,33.92,,,,
2024-05-28T00:04:28Z,1716822268,60E85BBA74C1,4.11,5.48,84.2,467,16.99,64.13,69.59,35.37,,,,
2024-05-28T00:05:28Z,1716822328,60E85BBA74C1,3.95,5.28,84.2,472,16.94,64.46,69.59,33.98,,,,462.6430556
2024-05-28T00:06:28Z,1716822388,60E85BBA74C1,3.59,4.78,84.2,477,16.92,64.35,69.59,30.83,,,,
2024-05-28T00:07:28Z,1716822448,60E85BBA74C1,3.35,4.46,84.2,475,16.91,64.35,69.59,28.77,,,,
2024-05-28T00:08:28Z,1716822508,60E85BBA74C1,3.47,4.62,84.2,471,16.93,64.21,69.59,29.82,,,,
2024-05-28T00:09:28Z,1716822568,60E85BBA74C1,3.91,5.21,84.2,469,16.98,64.11,69.59,33.59,,,,
2024-05-28T00:10:28Z,1716822628,60E85BBA74C1,3.44,4.59,84.2,467,16.84,64.47,69.59,29.6,,,,
2024-05-28T00:11:28Z,1716822688,60E85BBA74C1,3.16,4.21,84.2,466,16.76,64.49,69.59,27.15,,,,
2024-05-28T00:12:28Z,1716822748,60E85BBA74C1,3.97,5.29,84.2,464,16.85,64.57,69.59,34.12,,,,
2024-05-28T00:13:28Z,1716822808,60E85BBA74C1,3.98,5.31,84.2,462,16.87,64.98,69.59,34.23,,,,
2024-05-28T00:14:28Z,1716822868,60E85BBA74C1,3.64,4.85,89.6,460,16.93,64.62,74.05,31.26,,,,
2024-05-28T00:15:28Z,1716822928,60E85BBA74C1,3.68,4.91,89.6,458,16.79,65.26,74.05,31.64,,,,
2024-05-28T00:16:28Z,1716822988,60E85BBA74C1,4.2,5.6,95.01,488,16.74,65.19,78.52,36.14,,,,
2024-05-28T00:17:28Z,1716823048,60E85BBA74C1,4.02,5.39,100.43,486,16.81,65.32,83,34.4,,,,
2024-05-28T00:18:28Z,1716823108,60E85BBA74C1,4.21,5.61,100.43,482,16.71,65.32,83,36.16,,,,
2024-05-28T00:19:28Z,1716823168,60E85BBA74C1,4.16,5.55,100.43,476,16.82,65.01,83,35.8,,,,
2024-05-28T00:20:28Z,1716823228,60E85BBA74C1,3.86,5.15,105.86,469,16.72,65.2,87.49,33.23,,,,
2024-05-28T00:21:28Z,1716823288,60E85BBA74C1,3.85,5.14,105.86,467,16.74,65.27,87.49,33.14,,,,
2024-05-28T00:22:28Z,1716823348,60E85BBA74C1,3.82,5.09,105.86,463,16.67,65.76,87.49,32.82,,,,
2024-05-28T00:23:28Z,1716823408,60E85BBA74C1,3.71,4.94,105.86,462,16.75,65.82,87.49,31.86,,,,
2024-05-28T00:24:28Z,1716823468,60E85BBA74C1,3.93,5.24,111.3,461,16.73,65.82,91.99,33.82,,,,
2024-05-28T00:25:28Z,1716823528,60E85BBA74C1,3.42,4.56,116.76,461,16.64,66.01,96.49,29.41,,,,
2024-05-28T00:26:28Z,1716823588,60E85BBA74C1,4.22,5.64,122.22,459,16.67,65.75,101.01,36.26,,,,
2024-05-28T00:27:28Z,1716823648,60E85BBA74C1,3.98,5.32,127.7,463,16.55,66.32,105.54,34.21,,,,
2024-05-28T00:28:28Z,1716823708,60E85BBA74C1,4.08,5.45,127.7,462,16.54,66.16,105.54,34.94,,,,
2024-05-28T00:29:28Z,1716823768,60E85BBA74C1,3.96,5.27,127.7,464,16.5,66.4,105.54,34.01,,,,
2024-05-28T00:30:28Z,1716823828,60E85BBA74C1,3.9,5.2,127.7,467,16.55,66.46,105.54,33.56,,,,
2024-05-28T00:31:28Z,1716823888,60E85BBA74C1,3.32,4.42,133.19,470,16.53,66.77,110.07,28.52,,,,
2024-05-28T00:32:28Z,1716823948,60E85BBA74C1,3.98,5.31,138.68,477,16.57,66.65,114.62,34.26,,,,
2024-05-28T00:33:28Z,1716824008,60E85BBA74C1,3.97,5.3,144.19,477,16.6,66.4,119.17,34.16,,,,
2024-05-28T00:34:28Z,1716824068,60E85BBA74C1,4.1,5.46,149.72,476,16.49,66.63,123.73,35.21,,,,
2024-05-28T00:35:28Z,1716824128,60E85BBA74C1,4.11,5.48,155.25,474,16.57,66.85,128.31,35.35,,,,
2024-05-28T00:36:28Z,1716824188,60E85BBA74C1,3.97,5.29,160.79,472,16.57,66.59,132.89,34.11,,,,
2024-05-28T00:37:28Z,1716824248,60E85BBA74C1,4.22,5.63,160.79,468,16.61,66.28,132.89,36.29,,,,
2024-05-28T00:38:28Z,1716824308,60E85BBA74C1,4.07,5.42,166.35,466,16.58,66.71,137.48,34.97,,,,
2024-05-28T00:39:28Z,1716824368,60E85BBA74C1,4.22,5.63,171.92,466,16.62,66.58,142.08,36.32,,,,
2024-05-28T00:40:28Z,1716824428,60E85BBA74C1,4.11,5.55,171.92,471,16.54,66.63,142.08,34.92,,,,
2024-05-28T00:41:28Z,1716824488,60E85BBA74C1,4.12,5.53,171.92,469,16.58,66.6,142.08,35.15,,,,
2024-05-28T00:42:28Z,1716824548,60E85BBA74C1,4.28,5.71,171.92,468,16.55,67.01,142.08,36.82,,,,
2024-05-28T00:43:28Z,1716824608,60E85BBA74C1,4.38,5.85,177.5,479,16.53,67.04,146.69,37.7,,,,
2024-05-28T00:44:28Z,1716824668,60E85BBA74C1,4.24,5.65,177.5,479,16.58,66.94,146.69,36.46,,,,
2024-05-28T00:45:28Z,1716824728,60E85BBA74C1,3.99,5.32,177.5,475,16.51,66.92,146.69,34.31,,,,
2024-05-28T00:46:28Z,1716824788,60E85BBA74C1,4.05,5.41,177.5,468,16.56,66.85,146.69,34.86,,,,
2024-05-28T00:47:28Z,1716824848,60E85BBA74C1,3.7,4.94,183.09,467,16.55,67.01,151.31,31.83,,,,
2024-05-28T00:48:28Z,1716824908,60E85BBA74C1,4.23,5.64,183.09,468,16.61,67,151.31,36.38,,,,
2024-05-28T00:49:28Z,1716824968,60E85BBA74C1,3.92,5.22,188.69,475,16.58,67.49,155.94,33.68,,,,
2024-05-28T00:50:28Z,1716825028,60E85BBA74C1,3.89,5.18,228.23,477,16.66,67.11,188.62,33.43,,,,
2024-05-28T00:51:28Z,1716825088,60E85BBA74C1,4.41,5.88,291.58,476,16.69,66.78,240.98,37.95,,,,
2024-05-28T00:52:28Z,1716825148,60E85BBA74C1,4.03,5.38,374.43,479,16.56,67.01,309.45,34.69,,,,
2024-05-28T00:53:28Z,1716825208,60E85BBA74C1,4.63,6.17,410.74,485,16.57,66.98,339.46,39.82,,,,
2024-05-28T00:54:28Z,1716825268,60E85BBA74C1,4.28,5.7,422.95,481,16.58,67.12,349.55,36.77,,,,
2024-05-28T00:55:28Z,1716825328,60E85BBA74C1,3.81,5.08,435.22,482,16.46,67.74,359.69,32.74,,,,
