CALENDAR(GMT 9),TIMESTAMP,MACADDR,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,,
2024-10-20T00:00:08Z,1729350008,60E85BBA74C1,0.66,0.89,111.3,409,13.76,62.78,91.99,5.57,,
2024-10-20T00:01:08Z,1729350068,60E85BBA74C1,0.58,0.79,111.3,413,13.74,63.16,91.99,4.97,,
2024-10-20T00:02:08Z,1729350128,60E85BBA74C1,0.7,0.95,111.3,414,13.74,63.24,91.99,5.99,,
2024-10-20T00:03:08Z,1729350188,60E85BBA74C1,0.63,0.85,111.3,409,13.72,63.46,91.99,5.39,,
2024-10-20T00:04:08Z,1729350248,60E85BBA74C1,0.57,0.77,111.3,412,13.77,63.06,91.99,4.87,,
2024-10-20T00:05:08Z,1729350308,60E85BBA74C1,0.44,0.59,111.3,411,13.74,63.16,91.99,3.75,,425.8055556
2024-10-20T00:06:08Z,1729350368,60E85BBA74C1,0.65,0.87,111.3,410,13.72,63.12,91.99,5.53,,
2024-10-20T00:07:08Z,1729350428,60E85BBA74C1,0.66,0.89,111.3,413,13.74,62.4,91.99,5.66,,
2024-10-20T00:08:08Z,1729350488,60E85BBA74C1,0.48,0.64,111.3,414,13.73,62.89,91.99,4.05,,
2024-10-20T00:09:08Z,1729350548,60E85BBA74C1,0.62,0.84,111.3,413,13.73,62.24,91.99,5.29,,
2024-10-20T00:10:08Z,1729350608,60E85BBA74C1,0.65,0.87,111.3,409,13.66,63.14,91.99,5.49,,
2024-10-20T00:11:08Z,1729350668,60E85BBA74C1,0.54,0.73,111.3,408,13.69,62.4,91.99,4.61,,
2024-10-20T00:12:08Z,1729350728,60E85BBA74C1,0.84,1.13,111.3,411,13.69,62.85,91.99,7.14,,
2024-10-20T00:13:08Z,1729350788,60E85BBA74C1,0.67,0.9,111.3,414,13.67,63.3,91.99,5.69,,
2024-10-20T00:14:08Z,1729350848,60E85BBA74C1,0.66,0.89,111.3,412,13.64,63.3,91.99,5.59,,
2024-10-20T00:15:08Z,1729350908,60E85BBA74C1,0.96,1.31,111.3,410,13.67,62.68,91.99,8.14,,
2024-10-20T00:16:08Z,1729350968,60E85BBA74C1,0.61,0.83,111.3,411,13.65,62.86,91.99,5.14,,
2024-10-20T00:17:08Z,1729351028,60E85BBA74C1,0.6,0.81,111.3,413,13.66,63.22,91.99,4.99,,
2024-10-20T00:18:08Z,1729351088,60E85BBA74C1,0.57,0.77,111.3,415,13.64,62.87,91.99,4.73,,
2024-10-20T00:19:08Z,1729351148,60E85BBA74C1,0.68,0.93,111.3,411,13.65,63.31,91.99,5.67,,
2024-10-20T00:20:08Z,1729351208,60E85BBA74C1,0.67,0.92,111.3,412,13.68,63.1,91.99,5.54,,
2024-10-20T00:21:08Z,1729351268,60E85BBA74C1,0.73,1,111.3,416,13.6,62.99,91.99,6.09,,
2024-10-20T00:22:08Z,1729351328,60E85BBA74C1,0.64,0.88,111.3,417,13.59,63.13,91.99,5.38,,
2024-10-20T00:23:08Z,1729351388,60E85BBA74C1,0.62,0.85,111.3,411,13.54,63.62,91.99,5.16,,
2024-10-20T00:24:08Z,1729351448,60E85BBA74C1,0.52,0.72,111.3,409,13.51,63.18,91.99,4.33,,
2024-10-20T00:25:08Z,1729351508,60E85BBA74C1,0.65,0.9,111.3,409,13.57,63.29,91.99,5.4,,
2024-10-20T00:26:08Z,1729351568,60E85BBA74C1,0.58,0.8,111.3,412,13.57,62.94,91.99,4.85,,
2024-10-20T00:27:08Z,1729351628,60E85BBA74C1,0.86,1.18,111.3,415,13.59,63.22,91.99,7.15,,
2024-10-20T00:28:08Z,1729351688,60E85BBA74C1,0.74,1.02,111.3,415,13.58,63.13,91.99,6.16,,
2024-10-20T00:29:08Z,1729351748,60E85BBA74C1,0.59,0.8,111.3,414,13.54,63.06,91.99,4.88,,
2024-10-20T00:30:08Z,1729351808,60E85BBA74C1,0.46,0.64,111.3,415,13.53,62.65,91.99,3.87,,
2024-10-20T00:31:08Z,1729351868,60E85BBA74C1,0.51,0.7,111.3,415,13.53,62.89,91.99,4.18,,
2024-10-20T00:32:08Z,1729351928,60E85BBA74C1,0.64,0.88,111.3,412,13.52,63.3,91.99,5.27,,
2024-10-20T00:33:08Z,1729351988,60E85BBA74C1,0.62,0.86,111.3,409,13.49,63.09,91.99,5.14,,
2024-10-20T00:34:08Z,1729352048,60E85BBA74C1,0.7,0.95,111.3,407,13.49,62.7,91.99,5.82,,
2024-10-20T00:35:08Z,1729352108,60E85BBA74C1,0.83,1.13,111.3,409,13.5,62.64,91.99,6.92,,
2024-10-20T00:36:08Z,1729352168,60E85BBA74C1,0.86,1.17,111.3,409,13.53,62.83,91.99,7.21,,
