CALENDAR(GMT 9),TIMESTAMP,MACADDR,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,,,,,
2024-06-01T00:00:57Z,1717167657,60E85BBA74C1,11.26,15.02,1070.53,473,18.42,87.14,884.74,96.81,,,,,
2024-06-01T00:01:57Z,1717167717,60E85BBA74C1,10.48,14.03,1109.78,471,18.4,87.45,917.18,89.64,,,,,
2024-06-01T00:02:57Z,1717167777,60E85BBA74C1,12.07,16.18,1141.6,471,18.48,87,943.47,103.05,,,,,
2024-06-01T00:03:57Z,1717167837,60E85BBA74C1,11.66,15.55,1157.65,469,18.46,87.11,956.74,100.25,,,,,
2024-06-01T00:04:57Z,1717167897,60E85BBA74C1,11.48,15.35,1173.8,468,18.47,87.09,970.08,98.49,,,,,
2024-06-01T00:05:57Z,1717167957,60E85BBA74C1,12.69,16.94,1173.8,467,18.49,86.93,970.08,109.01,,,,,459.9388889
2024-06-01T00:06:57Z,1717168017,60E85BBA74C1,12.1,16.18,1165.71,463,18.51,86.44,963.4,103.67,,,,,
2024-06-01T00:07:57Z,1717168077,60E85BBA74C1,11.24,15.08,1149.61,464,18.54,86.52,950.09,96.05,,,,,
2024-06-01T00:08:57Z,1717168137,60E85BBA74C1,11.8,15.74,1125.64,468,18.53,86.2,930.28,101.48,,,,,
2024-06-01T00:09:57Z,1717168197,60E85BBA74C1,12.02,16.03,1101.89,466,18.55,86.1,910.65,103.35,,,,,
2024-06-01T00:10:57Z,1717168257,60E85BBA74C1,11.46,15.3,1070.53,464,18.51,86.44,884.74,98.49,,,,,
2024-06-01T00:11:57Z,1717168317,60E85BBA74C1,12.59,16.79,1047.26,461,18.44,86.77,865.5,108.24,,,,,
2024-06-01T00:12:57Z,1717168377,60E85BBA74C1,13.4,17.87,986.16,459,18.4,86.17,815.01,115.22,,,,,
2024-06-01T00:13:57Z,1717168437,60E85BBA74C1,14.62,19.5,882.47,458,18.49,85.91,729.32,125.67,,,,,
2024-06-01T00:14:57Z,1717168497,60E85BBA74C1,14.74,19.66,789.66,458,18.46,85.85,652.61,126.77,,,,,
2024-06-01T00:15:57Z,1717168557,60E85BBA74C1,14.72,19.63,775.66,458,18.47,86.32,641.04,126.5,,,,,
2024-06-01T00:16:57Z,1717168617,60E85BBA74C1,15.87,21.53,747.88,456,18.4,86.81,618.08,133.69,,,,,
2024-06-01T00:17:57Z,1717168677,60E85BBA74C1,16.61,22.81,686.41,459,18.39,86.65,567.28,138.08,,,,,
2024-06-01T00:18:57Z,1717168737,60E85BBA74C1,17.45,23.8,600.04,473,18.47,86.38,495.9,146.17,,,,,
2024-06-01T00:19:57Z,1717168797,60E85BBA74C1,16.74,22.77,541.83,468,18.48,86.74,447.8,140.6,,,,,
2024-06-01T00:20:57Z,1717168857,60E85BBA74C1,17.92,23.89,497.42,456,18.46,86.73,411.09,154.04,,,,,
2024-06-01T00:21:57Z,1717168917,60E85BBA74C1,16.96,22.66,453.73,463,18.52,86.26,374.98,145.43,,,,,
2024-06-01T00:22:57Z,1717168977,60E85BBA74C1,15.85,21.14,429.08,463,18.5,86.39,354.61,136.31,,,,,
