CALENDAR(GMT 9),TIMESTAMP,MACADDR,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,,
2024-10-12T00:00:08Z,1728658808,60E85BBA74C1,27.36,37.32,2791.89,442,16.78,79.59,2307.35,229.11,,
2024-10-12T00:01:08Z,1728658868,60E85BBA74C1,27.99,37.9,2777.12,447,16.79,79.51,2295.14,236.44,,
2024-10-12T00:02:08Z,1728658928,60E85BBA74C1,27.48,37.74,2733.29,442,16.73,79.86,2258.92,228.27,,
2024-10-12T00:03:08Z,1728658988,60E85BBA74C1,28.85,39.33,2619.81,438,16.71,80.04,2165.13,241.75,,429.3180556
2024-10-12T00:04:08Z,1728659048,60E85BBA74C1,29.16,40.16,2510.94,439,16.67,80.13,2075.15,241.52,,
2024-10-12T00:05:08Z,1728659108,60E85BBA74C1,27.68,37.74,2342.94,438,16.69,80.3,1936.31,231.92,,
2024-10-12T00:06:08Z,1728659168,60E85BBA74C1,28.82,39.24,2208.57,439,16.67,80.3,1825.27,241.92,,
2024-10-12T00:07:08Z,1728659228,60E85BBA74C1,28.7,39.84,2058,437,16.7,80.26,1700.83,235.42,,
2024-10-12T00:08:08Z,1728659288,60E85BBA74C1,28.6,38.96,1958.5,435,16.72,80.2,1618.6,240.03,,
2024-10-12T00:09:08Z,1728659348,60E85BBA74C1,29.23,39.75,1852.11,437,16.71,80.28,1530.67,245.76,,
2024-10-12T00:10:08Z,1728659408,60E85BBA74C1,28.74,39.4,1780.08,437,16.69,80.37,1471.14,239.25,,
2024-10-12T00:11:08Z,1728659468,60E85BBA74C1,28.33,38.83,1709.93,431,16.72,80.04,1413.16,235.97,,
2024-10-12T00:12:08Z,1728659528,60E85BBA74C1,28.05,38.23,1651.22,430,16.7,80.24,1364.65,235.14,,
2024-10-12T00:13:08Z,1728659588,60E85BBA74C1,28.36,38.94,1603.27,440,16.71,80.06,1325.02,235.75,,
2024-10-12T00:14:08Z,1728659648,60E85BBA74C1,28.55,39.39,1574.9,441,16.71,79.78,1301.57,235.85,,
2024-10-12T00:15:08Z,1728659708,60E85BBA74C1,26.9,36.85,1546.83,431,16.69,80.07,1278.37,224.1,,
2024-10-12T00:16:08Z,1728659768,60E85BBA74C1,28.39,38.69,1519.05,431,16.64,80.46,1255.42,238.09,,
2024-10-12T00:17:08Z,1728659828,60E85BBA74C1,28.2,38.79,1482.46,435,16.68,79.96,1225.17,233.8,,
