CALENDAR(GMT 9),TIMESTAMP,MACADDR,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,,
2024-05-15T00:00:18Z,1715698818,60E85BBA74C1,3.13,4.17,380.45,531,16.53,44.18,314.42,26.92,,
2024-05-15T00:01:18Z,1715698878,60E85BBA74C1,3.28,4.38,374.43,536,16.52,44.04,309.45,28.24,,
2024-05-15T00:02:18Z,1715698938,60E85BBA74C1,3.35,4.47,374.43,532,16.5,44.24,309.45,28.8,,495.1840278
2024-05-15T00:03:18Z,1715698998,60E85BBA74C1,3.24,4.33,368.43,529,16.44,44.62,304.49,27.9,,
2024-05-15T00:04:18Z,1715699058,60E85BBA74C1,2.95,3.94,362.44,527,16.44,44.78,299.54,25.41,,
2024-05-15T00:05:18Z,1715699118,60E85BBA74C1,3.6,4.8,362.44,540,16.45,44.78,299.54,30.96,,
2024-05-15T00:06:18Z,1715699178,60E85BBA74C1,3.85,5.13,368.43,545,16.5,44.83,304.49,33.1,,
2024-05-15T00:07:18Z,1715699238,60E85BBA74C1,2.9,3.86,386.48,550,16.49,44.97,319.41,24.89,,
2024-05-15T00:08:18Z,1715699298,60E85BBA74C1,2.92,3.89,422.95,561,16.52,44.99,349.55,25.11,,
2024-05-15T00:09:18Z,1715699358,60E85BBA74C1,3.08,4.1,472.37,571,16.53,45.35,390.39,26.46,,
2024-05-15T00:10:18Z,1715699418,60E85BBA74C1,3.6,4.8,522.71,575,16.53,45.14,431.99,30.93,,
2024-05-15T00:11:18Z,1715699478,60E85BBA74C1,3.34,4.46,535.44,574,16.56,45.21,442.52,28.74,,
2024-05-15T00:12:18Z,1715699538,60E85BBA74C1,3.33,4.43,529.07,572,16.53,45.15,437.25,28.6,,
2024-05-15T00:13:18Z,1715699598,60E85BBA74C1,3.42,4.56,516.36,571,16.52,45.18,426.75,29.41,,
2024-05-15T00:14:18Z,1715699658,60E85BBA74C1,3.8,5.07,503.72,572,16.46,45.45,416.3,32.67,,
2024-05-15T00:15:18Z,1715699718,60E85BBA74C1,3.78,5.04,491.14,571,16.47,45.57,405.9,32.52,,
2024-05-15T00:16:18Z,1715699778,60E85BBA74C1,3.57,4.76,484.86,572,16.5,45.54,400.71,30.69,,
