CALENDAR(GMT 9),TIMESTAMP,MACADDR,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,,,
2024-10-13T00:00:08Z,1728745208,60E85BBA74C1,11.77,15.91,1565.51,430,16.5,70.44,1293.81,99.7,,,
2024-10-13T00:01:08Z,1728745268,60E85BBA74C1,12.33,16.56,1612.79,429,16.48,70.59,1332.89,105.08,,,
2024-10-13T00:02:08Z,1728745328,60E85BBA74C1,11.9,15.88,1660.92,434,16.46,71.08,1372.66,102.31,,,
2024-10-13T00:03:08Z,1728745388,60E85BBA74C1,12.47,16.84,1719.84,433,16.5,70.9,1421.35,105.77,,,438.4986111
2024-10-13T00:04:08Z,1728745448,60E85BBA74C1,11.71,15.92,1769.94,432,16.45,71.06,1462.76,98.45,,,
2024-10-13T00:05:08Z,1728745508,60E85BBA74C1,11.99,16.02,1831.33,432,16.4,71.56,1513.5,102.82,,,
2024-10-13T00:06:08Z,1728745568,60E85BBA74C1,11.87,16.05,1852.11,437,16.38,71.27,1530.67,100.49,,,
2024-10-13T00:07:08Z,1728745628,60E85BBA74C1,12.19,16.36,1873.06,441,16.38,71.39,1547.98,104.09,,,
2024-10-13T00:08:08Z,1728745688,60E85BBA74C1,12.43,16.84,1883.59,434,16.4,71.29,1556.69,105.03,,,
2024-10-13T00:09:08Z,1728745748,60E85BBA74C1,12.02,16.23,1883.59,431,16.39,70.97,1556.69,101.91,,,
2024-10-13T00:10:08Z,1728745808,60E85BBA74C1,12.65,16.86,1894.16,436,16.38,71.24,1565.42,108.73,,,
2024-10-13T00:11:08Z,1728745868,60E85BBA74C1,12.31,16.85,1894.16,440,16.4,71.33,1565.42,102.62,,,
2024-10-13T00:12:08Z,1728745928,60E85BBA74C1,12.42,16.81,1904.78,439,16.33,71.57,1574.2,104.93,,,
2024-10-13T00:13:08Z,1728745988,60E85BBA74C1,12.7,17.15,1915.44,435,16.36,71.21,1583.01,107.59,,,
2024-10-13T00:14:08Z,1728746048,60E85BBA74C1,12.56,16.75,1936.88,437,16.35,71.46,1600.73,108.01,,,
2024-10-13T00:15:08Z,1728746108,60E85BBA74C1,11.89,15.94,1969.38,440,16.32,71.53,1627.58,101.61,,,
2024-10-13T00:16:08Z,1728746168,60E85BBA74C1,12.78,17.38,2013.32,437,16.32,71.42,1663.9,107.51,,,
2024-10-13T00:17:08Z,1728746228,60E85BBA74C1,13.28,17.92,2046.76,433,16.3,71.65,1691.54,112.65,,,
2024-10-13T00:18:08Z,1728746288,60E85BBA74C1,12.73,17.26,2126.45,429,16.28,71.64,1757.39,107.41,,,
2024-10-13T00:19:08Z,1728746348,60E85BBA74C1,12.92,17.3,2161.34,432,16.3,71.55,1786.23,110.55,,,
2024-10-13T00:20:08Z,1728746408,60E85BBA74C1,12.39,16.53,2208.57,439,16.31,71.6,1825.27,106.44,,,
2024-10-13T00:21:08Z,1728746468,60E85BBA74C1,12.58,16.77,2244.56,433,16.27,71.58,1855,108.11,,,
2024-10-13T00:22:08Z,1728746528,60E85BBA74C1,12.02,16.03,2406.31,429,16.27,71.66,1988.69,103.31,,,
2024-10-13T00:23:08Z,1728746588,60E85BBA74C1,13.51,18.01,2445.07,433,16.28,71.78,2020.72,116.14,,,
2024-10-13T00:24:08Z,1728746648,60E85BBA74C1,13.42,18.12,2484.4,442,16.28,71.5,2053.22,113.71,,,
2024-10-13T00:25:08Z,1728746708,60E85BBA74C1,13.71,18.45,2537.74,440,16.28,71.45,2097.31,116.57,,,
2024-10-13T00:26:08Z,1728746768,60E85BBA74C1,12.13,16.17,2619.81,440,16.24,71.75,2165.13,104.27,,,
2024-10-13T00:27:08Z,1728746828,60E85BBA74C1,12.29,16.38,2882.26,440,16.24,72.13,2382.03,105.61,,,
2024-10-13T00:28:08Z,1728746888,60E85BBA74C1,12.8,17.18,3105.77,439,16.2,72.16,2566.75,109.18,,,
2024-10-13T00:29:08Z,1728746948,60E85BBA74C1,12.81,17.35,3349.63,438,16.23,72.22,2768.29,108.17,,,
2024-10-13T00:30:08Z,1728747008,60E85BBA74C1,13,17.69,3518.99,438,16.23,72.07,2908.26,109.25,,,
2024-10-13T00:31:08Z,1728747068,60E85BBA74C1,12.62,17.08,3679.08,435,16.22,72.2,3040.56,106.76,,,
2024-10-13T00:32:08Z,1728747128,60E85BBA74C1,12.32,16.62,3762.85,438,16.22,72.05,3109.8,104.5,,,
2024-10-13T00:33:08Z,1728747188,60E85BBA74C1,13.56,18.3,3871.4,445,16.22,72.42,3199.5,114.96,,,
2024-10-13T00:34:08Z,1728747248,60E85BBA74C1,12.61,16.94,3961.51,443,16.2,72.22,3273.98,107.53,,,
2024-10-13T00:35:08Z,1728747308,60E85BBA74C1,13.24,17.65,4031.14,443,16.14,72.56,3331.52,113.8,,,
2024-10-13T00:36:08Z,1728747368,60E85BBA74C1,12.23,16.32,4054.76,441,16.19,72.35,3351.04,104.99,,,
2024-10-13T00:37:08Z,1728747428,60E85BBA74C1,12.93,17.29,4078.59,445,16.18,72.22,3370.73,110.85,,,
2024-10-13T00:38:08Z,1728747488,60E85BBA74C1,13.07,17.77,3827.45,445,16.18,71.82,3163.18,109.96,,,
2024-10-13T00:39:08Z,1728747548,60E85BBA74C1,12.59,16.96,3827.45,438,16.18,72.3,3163.18,106.94,,,
2024-10-13T00:40:08Z,1728747608,60E85BBA74C1,13.1,17.6,3893.64,435,16.17,72.38,3217.89,111.69,,,
2024-10-13T00:41:08Z,1728747668,60E85BBA74C1,14.28,19.27,3984.52,444,16.13,72.67,3292.99,121.08,,,
2024-10-13T00:42:08Z,1728747728,60E85BBA74C1,13.74,18.68,4151.37,445,16.13,73.16,3430.88,115.53,,,
2024-10-13T00:43:08Z,1728747788,60E85BBA74C1,13.17,17.9,4303.14,442,16.14,73.02,3556.32,110.83,,,
